Date,STOXX Global Digital Security
06/2012,10000
07/2012,9978.0795711567
08/2012,10133.415701005351
09/2012,10033.279196516645
10/2012,9227.005968334945
11/2012,9668.104779649871
12/2012,10005.081553959128
01/2013,10197.483136215538
02/2013,10468.897900620746
03/2013,10765.421519882826
04/2013,10180.74389964429
05/2013,10998.87408706396
06/2013,10614.469475802836
07/2013,11333.060988611342
08/2013,11094.427229158156
09/2013,11279.65485288403
10/2013,11106.184550083199
11/2013,11230.732441238306
12/2013,11719.35872781802
01/2014,11935.773143489134
02/2014,12350.567440192102
03/2014,12228.510506860099
04/2014,11667.447166784572
05/2014,12204.198758506622
06/2014,12621.284736406844
07/2014,12658.948018692148
08/2014,13078.823869354246
09/2014,13255.781513107422
10/2014,13485.348186084513
11/2014,13792.034913264848
12/2014,14338.252144714686
01/2015,15153.6920976854
02/2015,16508.474238514194
03/2015,17242.41005151301
04/2015,16725.48648406285
05/2015,17773.88081265008
06/2015,17004.274483624442
07/2015,17117.8621603579
08/2015,15824.158305351573
09/2015,15541.783326524715
10/2015,16733.756464035552
11/2015,17726.35333738529
12/2015,16852.52533304106
01/2016,16001.414864043521
02/2016,16012.375078465171
03/2016,16502.894492990446
04/2016,16134.332373484252
05/2016,16879.726592469335
06/2016,16536.273327820014
07/2016,17657.702539780596
08/2016,17935.892709464642
09/2016,18112.451799966122
10/2016,18039.416916592767
11/2016,19009.395892908742
12/2016,19063.898050078216
01/2017,19411.635762183276
02/2017,20482.249434552574
03/2017,21141.755427797096
04/2017,20789.83290654923
05/2017,20876.418600480254
06/2017,20399.350358199736
07/2017,20128.53342367207
08/2017,20166.694897521997
09/2017,20431.63317158714
10/2017,21654.195271165674
11/2017,21591.323495710567
12/2017,21665.95259209071
01/2018,21875.790879108834
02/2018,22312.605242968028
03/2018,21999.242748821776
04/2018,22341.799268654784
05/2018,22945.30853003597
06/2018,22583.023624243993
07/2018,22888.614329982163
08/2018,23672.967129320565
09/2018,23234.85746739336
10/2018,21646.622759383437
11/2018,22006.317069039385
12/2018,20517.22248238893
01/2019,22131.56242838496
02/2019,23374.55038211293
03/2019,23993.403943684425
04/2019,25151.89860805277
05/2019,23539.94998156691
06/2019,24351.005848768968
07/2019,25550.15294481034
08/2019,24504.648127297907
09/2019,25094.407301495572
10/2019,25340.21402309616
11/2019,26858.503631816508
12/2019,26874.843318752926
01/2020,26932.73417494495
02/2020,25225.232406364896
03/2020,22301.146836981756
04/2020,25172.12518557636
05/2020,26659.426282594184
06/2020,26991.819694508933
07/2020,27573.109612108048
08/2020,27713.898548269783
09/2020,27431.72284606877
10/2020,26383.02960254277
11/2020,29067.28575271764
12/2020,31320.40692286998
01/2021,32183.573627731337
02/2021,31088.050377131014
03/2021,32541.17553281588
04/2021,32924.78303757361
05/2021,33005.78898598089
06/2021,35308.03184440481
07/2021,35991.84958600281
08/2021,37728.84429520839
09/2021,36448.691250759744
10/2021,38460.78734194873
11/2021,39022.64778852765
12/2021,39366.101053176964
01/2022,35346.19331825474
02/2022,34851.6883712125
03/2022,35964.15013500991
04/2022,34267.01075097397
05/2022,32637.226866474695
06/2022,30928.529438139554
07/2022,33907.21680300509
08/2022,34080.587467493
09/2022,31403.00708428405
10/2022,33124.9564082381
11/2022,32398.29419208274
12/2022,30030.190408815997
01/2023,31403.50527584867
02/2023,32310.811753335394
03/2023,32529.517850203763
04/2023,30460.22936739635
05/2023,34099.71802357442
06/2023,34015.6232874665
07/2023,34967.66736745613
08/2023,35888.225740561764
09/2023,35235.09659934438
10/2023,33492.92069786674
11/2023,36168.109761565516
12/2023,38240.38739376065
01/2024,39419.70646553013
02/2024,41137.271703715516
03/2024,40368.56211950619
04/2024,38620.80647250481
05/2024,37922.242260594045
06/2024,40278.787999561595
07/2024,41198.549266163835
08/2024,42011.79717625021
09/2024,42452.795352869085
