Date,Bloomberg Euro Treasury 50bn 10-15 Year Bond
10/2012,10000
11/2012,10298.75931326056
12/2012,10342.933782900838
01/2013,10364.648461952911
02/2013,10316.287175109797
03/2013,10418.124153829509
04/2013,10929.76740861866
05/2013,10729.834215217625
06/2013,10446.331947696206
07/2013,10560.359356649413
08/2013,10466.617229107585
09/2013,10586.625805493424
10/2013,10847.354017697156
11/2013,10870.721120972175
12/2013,10760.530782990563
01/2014,11139.103199975258
02/2014,11340.59251066597
03/2014,11533.728462094849
04/2014,11700.222874518662
05/2014,11845.337147763721
06/2014,12115.239862554787
07/2014,12317.241120627496
08/2014,12702.377615430205
09/2014,12726.581068388587
10/2014,12810.631677175108
11/2014,13145.849967919832
12/2014,13409.75413389425
01/2015,13905.113651619773
02/2015,14076.766559390975
03/2015,14293.900585878011
04/2015,14019.33408667196
05/2015,13634.952152530348
06/2015,13067.600317230292
07/2015,13538.478590067867
08/2015,13329.499903658541
09/2015,13634.231518870745
10/2015,13891.91387592458
11/2015,13968.63598625112
12/2015,13750.70520283052
01/2016,14147.901221412872
02/2016,14321.543484075492
03/2016,14458.17461096533
04/2016,14197.19357870893
05/2016,14425.928792139113
06/2016,14857.030116918802
07/2016,15079.259327872627
08/2016,15028.662725150332
09/2016,15072.154488974818
10/2016,14602.169395884368
11/2016,14217.548942151172
12/2016,14344.522563024957
01/2017,13880.972424021957
02/2017,14115.467631844376
03/2017,14028.458729770759
04/2017,14133.828565510288
05/2017,14265.075239492577
06/2017,14175.432472141903
07/2017,14222.040215311528
08/2017,14383.59917696291
09/2017,14292.403494824583
10/2017,14550.588265486236
11/2017,14634.29849235722
12/2017,14448.770849195613
01/2018,14366.770858544987
02/2018,14409.207046304586
03/2018,14785.514838527366
04/2018,14701.753862807074
05/2018,14351.764423815803
06/2018,14511.049837019867
07/2018,14448.309034667263
08/2018,14298.320810649457
09/2018,14307.973241780594
10/2018,14251.114231058378
11/2018,14383.624551387567
12/2018,14571.446042536234
01/2019,14795.314441321447
02/2019,14725.971213678784
03/2019,15132.931310860726
04/2019,15148.983171884824
05/2019,15358.915936660485
06/2019,15882.659285782689
07/2019,16283.098155833388
08/2019,16810.81513985351
09/2019,16808.673538414372
10/2019,16606.434299188073
11/2019,16368.401896571562
12/2019,16164.193016623387
01/2020,16751.363116185465
02/2020,16794.625177125086
03/2020,16230.708100195769
04/2020,16235.712593921524
05/2020,16334.140261591298
06/2020,16576.572236218693
07/2020,16824.589583307872
08/2020,16658.994460562128
09/2020,16983.16947824164
10/2020,17199.399353576508
11/2020,17238.65781953561
12/2020,17296.67420037018
01/2021,17167.772740549153
02/2021,16754.812642217817
03/2021,16821.39028196174
04/2021,16561.326403547115
05/2021,16554.909927663077
06/2021,16676.74254009655
07/2021,17092.061899755743
08/2021,16964.617105072695
09/2021,16668.55661821664
10/2021,16450.199833048304
11/2021,16858.43247212803
12/2021,16530.972987300454
01/2022,16292.945960472012
02/2022,15827.13279848824
03/2022,15345.843419058938
04/2022,14483.079819438535
05/2022,14102.90238862803
06/2022,13724.29985405172
07/2022,14520.303063428668
08/2022,13472.052112086913
09/2022,12712.85212670911
10/2022,12786.170458866747
11/2022,13260.80582797978
12/2022,12354.044866208746
01/2023,12849.917607821979
02/2023,12476.009466889263
03/2023,12898.673349640385
04/2023,12869.387053624134
05/2023,12957.021722490577
06/2023,12993.096971416015
07/2023,12913.51292401884
08/2023,12957.96926971703
09/2023,12402.850652962383
10/2023,12430.202265407566
11/2023,13010.974988282278
12/2023,13691.044547853162
01/2024,13604.200588961226
02/2024,13416.194815247303
03/2024,13622.871996780543
04/2024,13338.465290159156
05/2024,13313.045144110727
06/2024,13314.9861726647
07/2024,13736.605635493643
08/2024,13779.192534768246
09/2024,14015.81562243548
