Date,MSCI USA Mid-Cap Equal Weighted
01/2020,114994.30773796598
02/2020,105014.54797485651
03/2020,83689.82993793357
04/2020,96807.51251195293
05/2020,101443.17755747128
06/2020,102871.47383461332
07/2020,102646.72537474678
08/2020,105748.55782914574
09/2020,105512.63210112741
10/2020,106543.53170798426
11/2020,119683.1918130217
12/2020,122994.66929182624
01/2021,123734.50862228082
02/2021,131379.85568187444
03/2021,139873.73352665245
04/2021,143061.29599735144
05/2021,143453.38227358414
06/2021,149454.2472702794
07/2021,150587.32811033554
08/2021,155460.71672807165
09/2021,151867.4281647811
10/2021,160649.4770837269
11/2021,160010.0909126111
12/2021,167434.94763906056
01/2022,158708.40100394408
02/2022,157245.5701259041
03/2022,161450.9549914422
04/2022,157105.48907779882
05/2022,154778.29321385236
06/2022,143732.73920092423
07/2022,160311.13357128846
08/2022,158355.25632
09/2022,145915.8150020517
10/2022,155004.96501916484
11/2022,157448.07717810333
12/2022,145260.0910106882
01/2023,156808.32586356503
02/2023,154084.3905151144
03/2023,146685.42424275863
04/2023,143043.34684272835
05/2023,143745.70377609282
06/2023,152984.86473035155
07/2023,157789.0349995464
08/2023,153983.40563857195
09/2023,149595.75484991507
10/2023,140797.19382992748
11/2023,150876.44690513218
12/2023,162521.9039855204
01/2024,162429.69022423177
02/2024,170658.24440421208
03/2024,178915.15861992416
04/2024,169908.32446351933
05/2024,171798.294493181
06/2024,172578.11095375993
07/2024,179381.91902475065
08/2024,178926.01122034818
09/2024,181330.95294033585
10/2024,184627.8671126631
