Date,STOXX Europe 600 Basic Resources
01/2012,139803.2786885246
02/2012,140365.33957845432
03/2012,129105.38641686183
04/2012,132946.13583138175
05/2012,112287.2755659641
06/2012,115642.46682279471
07/2012,119270.86651053865
08/2012,118217.00234192038
09/2012,122643.2474629196
10/2012,124891.47540983607
11/2012,122830.60109289618
12/2012,131183.4504293521
01/2013,127786.10460577674
02/2013,124902.4199843872
03/2013,116546.4480874317
04/2013,109088.21233411398
05/2013,111033.5675253708
06/2013,97038.25136612022
07/2013,105178.76658860265
08/2013,111105.38641686183
09/2013,115394.22326307572
10/2013,118640.12490242
11/2013,116551.13192818112
12/2013,117200.62451209992
01/2014,117211.55347384856
02/2014,122819.67213114754
03/2014,120115.53473848557
04/2014,121826.69789227167
05/2014,120039.03200624512
06/2014,122018.73536299766
07/2014,131352.068696331
08/2014,127950.03903200626
09/2014,122257.5956284153
10/2014,117027.30679156909
11/2014,115501.95160031226
12/2014,113392.66198282593
01/2015,114977.34582357534
02/2015,129915.69086651054
03/2015,122209.21155347386
04/2015,127239.65651834504
05/2015,125711.14754098361
06/2015,115715.84699453552
07/2015,108149.88290398127
08/2015,97494.14519906323
09/2015,83199.06323185012
10/2015,93689.30523028884
11/2015,87625.29274004685
12/2015,77080.40593286495
01/2016,67814.20765027322
02/2016,79884.46526151444
03/2016,84982.02966432476
04/2016,96730.66354410617
05/2016,87442.62295081968
06/2016,92777.51756440282
07/2016,102160.8118657299
08/2016,97064.7931303669
09/2016,107284.9336455894
10/2016,113167.83762685403
11/2016,124747.85323965653
12/2016,127728.33723653396
01/2017,138618.26697892274
02/2017,138366.90085870415
03/2017,135934.42622950822
04/2017,132921.15534738486
05/2017,127261.51444184232
06/2017,126989.85167837628
07/2017,137394.22326307572
08/2017,142649.49258391882
09/2017,141049.18032786885
10/2017,148254.4886807182
11/2017,142955.50351288056
12/2017,157099.14129586262
01/2018,161781.42076502732
02/2018,156334.11397345824
03/2018,151258.39188134272
04/2018,159537.86104605778
05/2018,168829.03981264637
06/2018,162352.8337236534
07/2018,159839.1881342701
08/2018,150142.07650273223
09/2018,158516.7837626854
10/2018,147247.46291959408
11/2018,135875.09758001563
12/2018,136874.3169398907
01/2019,153790.78844652616
02/2019,159327.0882123341
03/2019,165658.07962529274
04/2019,165252.1467603435
05/2019,149378.61046057768
06/2019,163514.4418423107
07/2019,156371.58469945355
08/2019,144096.7993754879
09/2019,151267.75956284153
10/2019,153110.07025761125
11/2019,160788.44652615144
12/2019,167589.38329430134
01/2020,154941.4519906323
02/2020,136761.90476190476
03/2020,119375.48790007806
04/2020,128702.57611241218
05/2020,138613.5831381733
06/2020,144699.45355191256
07/2020,146808.74316939892
08/2020,154159.2505854801
09/2020,152316.93989071038
10/2020,144676.0343481655
11/2020,170060.8899297424
12/2020,188549.5706479313
01/2021,193092.8961748634
02/2021,216371.56908665106
03/2021,218471.50663544107
04/2021,226604.2154566745
05/2021,230454.33255269323
06/2021,224949.25839188136
07/2021,241195.92505854802
08/2021,234943.01327088213
09/2021,218076.50273224045
10/2021,223782.98204527714
11/2021,221912.56830601094
12/2021,239288.05620608904
01/2022,245378.61046057768
02/2022,266268.5402029664
03/2022,288914.91022638563
04/2022,281364.55893832946
05/2022,282846.21389539423
06/2022,229005.46448087433
07/2022,242199.84387197503
08/2022,239202.18579234974
09/2022,229985.94847775178
10/2022,236062.4512099922
11/2022,272017.1740827479
12/2022,262599.5316159251
01/2023,280688.52459016396
02/2023,263408.274785324
03/2023,252982.04527712727
04/2023,239728.33723653396
05/2023,226306.01092896177
06/2023,232846.21389539426
07/2023,245895.39422326308
08/2023,232888.36846213895
09/2023,244533.95784543327
10/2023,235053.86416861828
11/2023,245225.6049960968
12/2023,257512.8649492584
01/2024,245195.94067135052
02/2024,229172.52146760345
03/2024,246039.03200624516
04/2024,270276.34660421545
05/2024,275419.2037470726
06/2024,262324.7462919594
07/2024,249747.07259953165
08/2024,242521.46760343484
09/2024,263723.65339578455
