Date,iBoxx $ Liquid Investment Grade
05/2003,10000
06/2003,10305.922715422308
07/2003,9831.741101274027
08/2003,10276.279867352587
09/2003,10022.203843088557
10/2003,9918.799917696411
11/2003,9629.370395642507
12/2003,9273.802105356885
01/2004,9565.233076660432
02/2004,9669.176030535491
03/2004,9933.390018581196
04/2004,9775.462831624254
05/2004,9475.48933252038
06/2004,9563.626638703108
07/2004,9790.004526258434
08/2004,10004.43468985999
09/2004,9838.092290494164
10/2004,9693.786418069667
11/2004,9181.80909838247
12/2004,9093.519959377338
01/2005,9577.380791256799
02/2005,9339.035945385906
03/2005,9409.934634752857
04/2005,9571.495874296164
05/2005,10207.775610883093
06/2005,10493.76882792015
07/2005,10337.477738140733
08/2005,10413.244621422398
09/2005,10349.63937580689
10/2005,10198.263907818164
11/2005,10498.786094554443
12/2005,10587.53353735673
01/2006,10282.4219750818
02/2006,10528.18255156207
03/2006,10169.955766642152
04/2006,9768.516376505228
05/2006,9501.451085784847
06/2006,9627.704340808868
07/2006,9740.709198952669
08/2006,9870.268575777443
09/2006,10132.918870372127
10/2006,10178.26599912892
11/2006,9936.791742991521
12/2006,9861.466027904637
01/2007,10010.521652051566
02/2007,10041.97176166883
03/2007,9899.955384759689
04/2007,9740.902193353353
05/2007,9755.077904428545
06/2007,9635.778888714904
07/2007,9531.69942299984
08/2007,9590.309371925585
09/2007,9379.351194642622
10/2007,9324.265600984016
11/2007,9168.81815008611
12/2007,9179.699455873262
01/2008,9190.257393885104
02/2008,8946.70327839024
03/2008,8400.743290364986
04/2008,8726.874156112213
05/2008,8644.63560614477
06/2008,8409.851294870965
07/2008,8425.757450542167
08/2008,9029.97595100902
09/2008,8128.530698662397
10/2008,8706.111502623437
11/2008,9215.843129996867
12/2008,9551.937060623164
01/2009,10055.49808168623
02/2009,9658.29198642356
03/2009,9164.748838404472
04/2009,9329.043888409815
05/2009,9151.490129798001
06/2009,9345.495233893396
07/2009,9723.997108137373
08/2009,9929.84500120647
09/2009,9905.738643284583
10/2009,9830.818016050383
11/2009,9839.350286622957
12/2009,10184.571954672327
01/2010,10622.590765311406
02/2010,10980.537401201454
03/2010,11179.368849061786
04/2010,11464.474308982715
05/2010,12326.351736150984
06/2010,12740.96245836661
07/2010,12310.498819766539
08/2010,12936.64463363628
09/2010,12105.900965164332
10/2010,11904.121683970672
11/2010,12577.717442836813
12/2010,12113.27565286122
01/2011,11867.648653030381
02/2011,11797.869288139058
03/2011,11448.154597797762
04/2011,11157.458529215633
05/2011,11671.473318177645
06/2011,11536.537930726248
07/2011,11935.164588948448
08/2011,11715.659460813544
09/2011,12348.050918542967
10/2011,12262.436531326926
11/2011,12404.706044189392
12/2011,13248.39217977576
01/2012,13392.427956714135
02/2012,13329.721534758086
03/2012,13336.414109834004
04/2012,13632.026026800311
05/2012,14518.133874798787
06/2012,14545.242207668836
07/2012,15356.608064324613
08/2012,14980.058621923465
09/2012,14883.689865794702
10/2012,14973.50718800692
11/2012,14996.032373719587
12/2012,14796.173612598446
01/2013,14246.14997081023
02/2013,14819.44417959883
03/2013,15186.325818100444
04/2013,15208.992981767593
05/2013,14803.286174720146
06/2013,14221.693145411613
07/2013,14149.757930514275
