Date,iBoxx $ Liquid Investment Grade
08/2013,14124.279163148434
09/2013,13918.01046290607
10/2013,14043.853578314438
11/2013,14028.489122341254
12/2013,13836.047159039746
01/2014,14396.139504660705
02/2014,14269.815028248315
03/2014,14308.21662401129
04/2014,14415.595800976887
05/2014,14913.188242785582
06/2014,14872.877690592864
07/2014,15151.938121560941
08/2014,15671.334598982427
09/2014,16131.920873016414
10/2014,16401.535130453492
11/2014,16617.30672397098
12/2014,17077.56925344054
01/2015,18960.331992157015
02/2015,18848.802757935504
03/2015,19773.1439103378
04/2015,18748.26141937841
05/2015,19039.842728788433
06/2015,18287.495425816505
07/2015,18775.898750534667
08/2015,18236.012894227493
09/2015,18427.47942823349
10/2015,18871.794052568068
11/2015,19630.018671350987
12/2015,18904.197663872546
01/2016,18846.03551054663
02/2016,19115.203574739233
03/2016,18932.952687140845
04/2016,19208.073427846786
05/2016,19570.63925393482
06/2016,20209.372003292086
07/2016,20492.324079801016
08/2016,20505.378155919167
09/2016,20373.341895752597
10/2016,20508.44063547505
11/2016,20450.79520239196
12/2016,20767.833327252272
01/2017,20392.802860732812
02/2017,20977.865999480804
03/2017,20733.604295449582
04/2017,20519.940750590536
05/2017,20277.472357588056
06/2017,20014.50846828734
07/2017,19627.009988886468
08/2017,19612.273073878434
09/2017,19627.131687001813
10/2017,19988.079040466313
11/2017,19589.088673531547
12/2017,19583.78189315836
01/2018,18627.786116593514
02/2018,18605.181717033294
03/2018,18505.38028257462
04/2018,18646.773877434767
05/2018,19363.813138163372
06/2018,19288.351538195886
07/2018,19383.316631282538
08/2018,19585.525839631086
09/2018,19646.38079778785
10/2018,19719.581250046347
11/2018,19583.690998865462
12/2018,19760.401585031093
01/2019,20320.62004877538
02/2019,20449.639048506277
03/2019,21390.344946123256
04/2019,21553.722627949006
05/2019,22007.820814976076
06/2019,22256.024811792013
07/2019,22834.0945754393
08/2019,23923.987073917568
09/2019,24039.443812038204
10/2019,23615.98660353249
11/2019,24078.31904071385
12/2019,23620.07328891143
01/2020,24645.1001207405
02/2020,25132.310182674246
03/2020,23435.705584828836
04/2020,24926.426343887797
05/2020,24765.404213489957
06/2020,25146.330106645903
07/2020,24619.562204076043
08/2020,23975.785225637206
09/2020,24370.475727592264
10/2020,24327.102539782638
11/2020,24550.042957206093
12/2020,24066.506333049496
01/2021,23917.600478410077
02/2021,23327.205296654716
03/2021,23808.108044280038
04/2021,23352.825886992072
05/2021,23352.280647587613
06/2021,24455.5126316831
07/2021,24798.618253256067
08/2021,24833.55191513317
09/2021,25051.150866145326
10/2021,24996.14139726618
11/2021,25602.74662849523
12/2021,25685.511727429384
01/2022,25078.879148835276
02/2022,24424.534002521566
03/2022,24019.032305955967
04/2022,23624.072320868374
05/2022,23534.53614984219
06/2022,23458.90532848798
07/2022,24888.829567463774
08/2022,24418.023799564762
09/2022,23517.68597465169
10/2022,22888.040679624446
11/2022,23205.819909685524
12/2022,22387.422587998186
01/2023,23143.981007703467
02/2023,22638.748008032093
03/2023,22938.250528522203
04/2023,22875.798977958195
05/2023,23096.816651279652
06/2023,22861.32590151829
07/2023,22588.975912061844
08/2023,22644.163039727886
09/2023,22439.676891154842
10/2023,21834.74886039893
11/2023,22803.6465965902
12/2023,23651.232301579676
01/2024,24072.905416403304
02/2024,23598.330573377727
03/2024,24000.517143061694
04/2024,23425.04331893867
05/2024,23650.38868055438
06/2024,24121.194744468117
07/2024,24506.10338823803
08/2024,24329.87121846862
09/2024,24591.23390173071
