Date,Fidelity US Quality Income
01/2014,10000
02/2014,10201.854844985357
03/2014,10390.811955961424
04/2014,10478.096165249855
05/2014,10884.449011487059
06/2014,11018.534950049752
07/2014,10987.507833823245
08/2014,11562.700976762277
09/2014,11917.492993659604
10/2014,12417.53148027483
11/2014,12787.805755045694
12/2014,13134.62371795219
01/2015,13731.70604729177
02/2015,14530.90506465291
03/2015,14937.720089607556
04/2015,14436.750492048623
05/2015,14925.629410040417
06/2015,14277.209219231927
07/2015,14809.371204229934
08/2015,13575.107575628545
09/2015,13406.484313730265
10/2015,14691.287937563104
11/2015,15331.16401953434
12/2015,14542.062845802071
01/2016,14041.998375264824
02/2016,14152.177489642092
03/2016,14522.898748106363
04/2016,14622.848304729769
05/2016,15170.535073300845
06/2016,15438.63536318079
07/2016,15977.296219193297
08/2016,15936.221684933767
09/2016,15881.04531040859
10/2016,15904.762344686013
11/2016,16975.905848094877
12/2016,17497.75761581988
01/2017,17461.418146623353
02/2017,18430.636430462535
03/2017,18276.195921232855
04/2017,18007.233883407072
05/2017,17745.669962911106
06/2017,17586.492455258624
07/2017,17346.892563807716
08/2017,17221.4764766633
09/2017,17668.783372929232
10/2017,18361.140021098385
11/2017,18722.310809449435
12/2017,18670.87194657022
01/2018,18861.45225611416
02/2018,18468.47984616763
03/2018,17999.21630015769
04/2018,18253.55756075428
05/2018,19358.746232809222
06/2018,19332.230381459245
07/2018,20061.79693218708
08/2018,20812.55617782356
09/2018,21121.537780607687
10/2018,20327.504041678138
11/2018,20788.120247550032
12/2018,18805.51213665388
01/2019,20095.94141363784
02/2019,21069.94918192783
03/2019,21711.11592104376
04/2019,22548.217289323577
05/2019,21358.278755191815
06/2019,22362.269984512826
07/2019,23226.8342845013
08/2019,23194.469493390083
09/2019,24110.286538007116
10/2019,23916.750924097505
11/2019,25124.340583974223
12/2019,25186.782262018347
01/2020,25379.075509963404
02/2020,23330.66590472525
03/2020,20097.336180658232
04/2020,22677.94271569722
05/2020,23113.629803109412
06/2020,23424.800882141775
07/2020,23193.332099585652
08/2020,24346.335296959198
09/2020,24235.807630768522
10/2020,23599.690663396927
11/2020,25490.44599926219
12/2020,25881.186024599876
01/2021,25795.167916810828
02/2021,26633.27763934103
03/2021,28882.753624676425
04/2021,29104.467961882365
05/2021,29228.833526745184
06/2021,30291.461342288814
07/2021,30791.328708571375
08/2021,31561.4262863856
09/2021,30764.595884941606
10/2021,32527.78710106202
11/2021,33143.31943947876
12/2021,35209.39972772486
01/2022,34418.681192508746
02/2022,33463.20404954753
03/2022,34868.51526060463
04/2022,34323.86774934692
05/2022,34343.366896911524
06/2022,32627.64945254293
07/2022,35894.22374386819
08/2022,35045.599518459065
09/2022,32819.992653827765
10/2022,35173.62857222731
11/2022,35928.376097781715
12/2022,33324.28381107687
01/2023,34345.11431071567
02/2023,34136.61677628321
03/2023,34108.5677386026
04/2023,34299.58083637728
05/2023,34587.889020459086
06/2023,36157.54154628635
07/2023,36789.8246902107
08/2023,36450.3220512978
09/2023,35597.77190981943
10/2023,34710.37004196773
11/2023,36505.700258330384
12/2023,37906.573554227216
01/2024,38973.601625290125
02/2024,40642.26560772536
03/2024,41980.47027087673
04/2024,40560.093724312894
05/2024,41851.851221858095
06/2024,43440.71378715485
07/2024,44144.405058877725
08/2024,44191.84630648506
09/2024,44541.55476875769
