Date,FTSE Qualified Global Convertible
11/2014,10000
12/2014,10278.430251770611
01/2015,10688.42020003943
02/2015,11112.914290614413
03/2015,11607.897338960824
04/2015,11411.1882214547
05/2015,11770.669734544375
06/2015,11273.222302024256
07/2015,11503.225448525205
08/2015,10809.484930358976
09/2015,10591.429361111319
10/2015,11264.209966852979
11/2015,11601.507646997861
12/2015,11280.564528712814
01/2016,10621.268039189725
02/2016,10685.199467967388
03/2016,10717.60560026668
04/2016,10749.279675925485
05/2016,10967.954658872175
06/2016,10912.377667759853
07/2016,11296.896395082716
08/2016,11345.166869418024
09/2016,11411.433746814153
10/2016,11445.747359986264
11/2016,11774.87382534369
12/2016,12028.187696236038
01/2017,11994.933709734334
02/2017,12360.519742459504
03/2017,12279.60574878318
04/2017,12228.358998666214
05/2017,12145.79107804536
06/2017,11899.158146782716
07/2017,11827.594337441862
08/2017,11655.938765633357
09/2017,11797.05948986527
10/2017,12142.49591595459
11/2017,11973.032648782319
12/2017,11759.96992221366
01/2018,11754.031458578957
02/2018,11855.02366433147
03/2018,11618.761385938204
04/2018,11810.582839678942
05/2018,12287.241109064003
06/2018,12152.219273387944
07/2018,12143.959272673515
08/2018,12298.796938677377
09/2018,12339.161414143098
10/2018,12041.69656182603
11/2018,11979.06866483453
12/2018,11667.825011837744
01/2019,12111.556427660504
02/2019,12323.152983341917
03/2019,12477.648913410652
04/2019,12727.64887326092
05/2019,12472.261929072221
06/2019,12635.150443602177
07/2019,12944.319651487305
08/2019,12846.096237068608
09/2019,12915.92764666896
10/2019,12921.322190321262
11/2019,13356.149054422025
12/2019,13426.468916434833
01/2020,13808.72022291119
02/2020,13537.102770195295
03/2020,12201.14576597738
04/2020,13400.803471332923
05/2020,13651.248312214375
06/2020,14395.648319299704
07/2020,14405.931457091025
08/2020,15237.98207907005
09/2020,15252.592193166238
10/2020,15160.747280453666
11/2020,16244.287668202025
12/2020,16955.683544216798
01/2021,17297.575271421876
02/2021,17658.569265926013
03/2021,17556.230893724147
04/2021,17630.39910012505
05/2021,17239.484122869646
06/2021,18093.989894279235
07/2021,17590.73127089132
08/2021,17993.182803887514
09/2021,18098.900481449073
10/2021,18043.904255924514
11/2021,17718.461631441718
12/2021,17645.302204757576
01/2022,16745.216794031632
02/2022,16580.199716627023
03/2022,16692.699995550167
04/2022,16456.542488740542
05/2022,15523.949620942467
06/2022,15151.936329123175
07/2022,15807.263177046287
08/2022,16221.171686746988
09/2022,15684.347978701842
10/2022,15589.400166735128
11/2022,15393.049646542993
12/2022,14881.757481830564
01/2023,15549.275473536352
02/2023,15655.77783400293
03/2023,15345.467386788536
04/2023,15166.700862277996
05/2023,15523.086448574415
06/2023,15911.82233073653
07/2023,16019.109550785925
08/2023,15867.01424764202
09/2023,15957.972914880214
10/2023,15447.05897703253
11/2023,15788.238490509471
12/2023,16400.82320231151
01/2024,16504.050714253153
02/2024,16767.590405961553
03/2024,17056.272448967084
04/2024,16779.609574704864
05/2024,16782.123888106795
06/2024,17197.43335790617
07/2024,17131.839140826327
08/2024,17017.21108298985
09/2024,17328.768450005813
