Date,MSCI Europe SRI Select Reduced Fossil Fuel
05/2012,10000
06/2012,10767.439343923752
07/2012,11188.48741615109
08/2012,11439.39970819126
09/2012,11492.333945862336
10/2012,11609.104904179174
11/2012,11935.89610503619
12/2012,12155.974053357588
01/2013,12572.742606642067
02/2013,12637.135084164824
03/2013,12942.629782116363
04/2013,13242.109632037944
05/2013,13407.255823466092
06/2013,12811.796431957187
07/2013,13645.78527156309
08/2013,13477.323775595012
09/2013,14261.50299074417
10/2013,14794.45769958214
11/2013,15097.424403056351
12/2013,15284.631232687985
01/2014,14880.736922166323
02/2014,15677.147765148771
03/2014,15486.847449231216
04/2014,15598.487427436821
05/2014,16011.801746160063
06/2014,15986.357286571973
07/2014,15817.268990208535
08/2014,16104.827142857144
09/2014,16244.381498052928
10/2014,15902.054261418078
11/2014,16467.165916846912
12/2014,16357.923493946133
01/2015,17646.962068996017
02/2015,18886.028237544484
03/2015,19431.658709917276
04/2015,19474.059234061526
05/2015,19695.082109389245
06/2015,18764.467551166323
07/2015,19888.103626333545
08/2015,18084.73522603656
09/2015,17468.589794697848
10/2015,19218.221650177
11/2015,19726.467946875884
12/2015,18775.729071369522
01/2016,17788.41213095238
02/2016,17509.645907421014
03/2016,17879.37388405797
04/2016,18144.263098307463
05/2016,18774.265645508338
06/2016,17770.52058187714
07/2016,18491.999109151442
08/2016,18436.772042759614
09/2016,18497.09475405429
10/2016,17994.80858669834
11/2016,17980.687995298544
12/2016,18975.95461246561
01/2017,18883.259010692702
02/2017,19551.386008304235
03/2017,20304.747000280608
04/2017,20720.97606221409
05/2017,21118.370679975043
06/2017,20552.538307921484
07/2017,20784.20006821864
08/2017,20669.36612431289
09/2017,21179.03124089446
10/2017,21590.182814057396
11/2017,21298.60661743607
12/2017,21211.974013174353
01/2018,21421.21662037408
02/2018,20601.328164401504
03/2018,20148.185775505237
04/2018,21160.479106714134
05/2018,20987.97726899735
06/2018,20909.353596671812
07/2018,21416.681565269253
08/2018,21272.491647927214
09/2018,21307.938280926053
10/2018,20111.730795193496
11/2018,20280.12247909147
12/2018,19213.56854235808
01/2019,20203.98820247214
02/2019,21027.007111948144
03/2019,21640.458538495775
04/2019,22576.909577464794
05/2019,21757.02649089768
06/2019,22773.72812390158
07/2019,22771.67887095328
08/2019,22753.615935121423
09/2019,23745.121485903204
10/2019,24155.748761879146
11/2019,24977.76946548898
12/2019,25260.541134057326
01/2020,25234.78558089034
02/2020,23288.386682153596
03/2020,20529.466882986493
04/2020,22124.09643618978
05/2020,22746.80796336207
06/2020,23571.514944632974
07/2020,23351.903182815666
08/2020,24153.917988274712
09/2020,24047.380907926206
10/2020,22581.496821678917
11/2020,25521.853949916524
12/2020,26165.89277646484
01/2021,26017.48980141727
02/2021,26567.060231004045
03/2021,28112.81434115139
04/2021,28603.56413176626
05/2021,29336.41405540529
06/2021,30092.053397845844
07/2021,31057.30600874611
08/2021,32121.485181679906
09/2021,30778.93517229467
10/2021,32075.88344954916
11/2021,31158.86178914019
12/2021,33375.94078580257
01/2022,31462.928910003586
02/2022,30144.40669434771
03/2022,30649.688924421218
04/2022,30146.97421157495
05/2022,29073.648506487447
06/2022,27505.154066621744
07/2022,29715.40123847813
08/2022,28079.511387
09/2022,26038.32228046779
10/2022,27126.226732902964
11/2022,28893.754346569003
12/2022,28144.6815422839
01/2023,30230.838405797105
02/2023,30594.997173933512
03/2023,31020.535980689656
04/2023,31976.56273381294
05/2023,30773.63907235795
06/2023,31461.523309405482
07/2023,31856.232913000083
08/2023,30986.295754508646
09/2023,30222.448872003024
10/2023,29297.196496845278
11/2023,31703.082388619525
12/2023,32895.55088416289
01/2024,33793.74004336993
02/2024,34504.59378810271
03/2024,35402.28753769309
04/2024,34626.48432450084
05/2024,36157.69374124586
06/2024,36060.20760765996
07/2024,36139.39588659032
08/2024,36839.85217461892
09/2024,36435.55175598428
10/2024,34637.127050174604
