Date,S&P 500 Minimum Volatility
01/2020,54646.572529858844
02/2020,50503.14198779266
03/2020,44252.49832055494
04/2020,49504.5851783744
05/2020,50439.1095545977
06/2020,50341.67379889266
07/2020,49832.42187711004
08/2020,51604.31088777219
09/2020,51627.39576358045
10/2020,50250.82000341938
11/2020,52872.9534557596
12/2020,52987.55217993643
01/2021,52339.28902439024
02/2021,52209.79166735418
03/2021,57325.66498933901
04/2021,58138.39212050985
05/2021,57760.78052618638
06/2021,60269.18566139348
07/2021,61955.63262971995
08/2021,63621.17921243873
09/2021,61698.84656706106
10/2021,65049.79936453413
11/2021,66300.19825750242
12/2021,71038.375419389
01/2022,68505.1499462173
02/2022,66242.57737297972
03/2022,70061.3545446356
04/2022,70135.13601518027
05/2022,69037.00849435265
06/2022,67232.50401463368
07/2022,72373.29288095704
08/2022,71169.64839999999
09/2022,67316.96889618383
10/2022,71529.58002824288
11/2022,71449.42397841171
12/2022,67021.87522970185
01/2023,67967.97651620049
02/2023,66137.04849797532
03/2023,66861.53382988505
04/2023,67986.1010108369
05/2023,67637.66125620143
06/2023,69604.69457021903
07/2023,69118.62505669962
08/2023,68898.51078395288
09/2023,67722.83824806495
10/2023,66804.72375929935
11/2023,69934.91790321106
12/2023,70930.38454298642
01/2024,74387.3727784442
02/2024,76735.9706262701
03/2024,79206.25388955693
04/2024,76953.10001866019
05/2024,79418.64813859196
06/2024,81846.7984680056
07/2024,82618.79682305134
08/2024,83592.29609452511
09/2024,84151.58163629868
