Date,FTSE EPRA/NAREIT Developed Dividend+ (EUR Hedged)
12/1999,10000
01/2000,9618.621985692402
02/2000,9189.236138527865
03/2000,9464.491574941176
04/2000,9781.595944601488
05/2000,9456.121788291774
06/2000,9978.68073211945
07/2000,10768.283246213856
08/2000,10895.567171485874
09/2000,10951.628949986576
10/2000,10279.519289989417
11/2000,10434.75514426038
12/2000,11656.586074570061
01/2001,11841.51098337097
02/2001,11893.150987792746
03/2001,11379.593512625745
04/2001,11519.826919128911
05/2001,11699.066689828342
06/2001,12090.709536819164
07/2001,11930.104385452363
08/2001,12225.573646226489
09/2001,11263.206102048229
10/2001,10992.214519211027
11/2001,11715.174581115865
12/2001,12113.134248219447
01/2002,12081.076386147213
02/2002,12135.243118614091
03/2002,12802.61516352668
04/2002,13305.907806010455
05/2002,13450.878827598186
06/2002,13573.109296780001
07/2002,12984.223741768394
08/2002,12784.612226205327
09/2002,12150.877248393157
10/2002,12037.490327369202
11/2002,12651.64316283183
12/2002,12645.800104227532
01/2003,12406.07678094847
02/2003,12552.78492806721
03/2003,12536.519116276866
04/2003,13033.179097642247
05/2003,13952.434344550953
06/2003,14141.623106927973
07/2003,14782.46450736699
08/2003,15211.69243402871
09/2003,15956.445525322551
10/2003,16352.194305386667
11/2003,17005.98518705683
12/2003,17783.585742937
01/2004,18740.741910522243
02/2004,19251.298896135686
03/2004,19906.037300822765
04/2004,17589.975206481056
05/2004,18481.752285899278
06/2004,18806.910601203355
07/2004,19060.21508772484
08/2004,20345.37213966489
09/2004,20595.676136632817
10/2004,21520.14276013455
11/2004,22955.324289752538
12/2004,24078.770746806058
01/2005,22735.814790834294
02/2005,23349.651785291284
03/2005,22786.19143123352
04/2005,23828.940511346587
05/2005,24323.863367180962
06/2005,25304.54968968621
07/2005,26702.146139633307
08/2005,26155.583279377162
09/2005,26398.78085371824
10/2005,25057.246182271843
11/2005,26435.576330875036
12/2005,26712.568892819352
01/2006,28712.47414051766
02/2006,29529.238981096914
03/2006,30125.862640746647
04/2006,30121.598787170537
05/2006,29571.08791434392
06/2006,30532.192094499627
07/2006,31584.100563776195
08/2006,32640.58872763451
09/2006,33372.86609920566
10/2006,35101.3060025583
11/2006,36992.56194431723
12/2006,37796.061462659694
01/2007,39715.743094926016
02/2007,39511.86772578684
03/2007,39423.274323705446
04/2007,39935.726355352715
05/2007,40263.41139870189
06/2007,37503.11892993067
07/2007,35780.52208518232
08/2007,37063.94201159137
09/2007,39666.62981854934
10/2007,40665.31907837594
11/2007,37678.25276755681
12/2007,36195.37924608752
01/2008,34695.608230816615
02/2008,34150.78249609147
03/2008,34616.01629739589
04/2008,36421.52140612416
05/2008,35686.40146550226
06/2008,31783.080397327984
07/2008,32056.756628713105
08/2008,31908.627197068996
09/2008,29367.212545204744
10/2008,20701.009112013013
11/2008,17488.116482162877
12/2008,19325.995293969016
01/2009,16896.388358100532
02/2009,14165.153261847985
03/2009,15052.19272618164
04/2009,18305.197163747773
05/2009,20296.41678379104
06/2009,20099.016155267436
07/2009,22315.430412330432
08/2009,24285.330764493152
09/2009,26003.03207365412
10/2009,25555.64328916823
11/2009,26274.18157699414
12/2009,27337.302401970846
01/2010,25908.121851459975
02/2010,26802.10981791766
03/2010,28691.154872637115
04/2010,29481.70490974843
05/2010,27198.49027999305
06/2010,26758.04999763119
07/2010,29416.325821581417
08/2010,29255.87859071743
09/2010,31754.02302480931
10/2010,32981.69701372329
11/2010,31654.533108033414
12/2010,33544.99944727824
01/2011,34060.29404797625
02/2011,35117.25597334302
03/2011,35093.09413641173
04/2011,36977.08573504098
05/2011,37170.06458948564
06/2011,36193.95796156215
07/2011,36354.24727192331
08/2011,34620.122230469184
09/2011,30217.4565323816
10/2011,34015.6025456785
11/2011,32574.10419594776
12/2011,33164.72687649037
01/2012,35212.95579805126
02/2012,36183.85104938174
03/2012,36599.339892298216
04/2012,37610.18903084187
05/2012,35375.61391595471
06/2012,37536.12431501982
07/2012,38994.204317546544
08/2012,39103.64322600003
09/2012,39446.01487611137
10/2012,39738.95740884039
11/2012,40141.18092952008
12/2012,41284.05160842032
01/2013,42814.77504224373
02/2013,42950.90251567362
03/2013,43568.52960219825
04/2013,46311.41488874501
05/2013,43181.37703520048
06/2013,41758.41896309398
07/2013,42255.13224262906
08/2013,40055.09055161632
09/2013,42133.30900304786
10/2013,43453.18224026025
11/2013,41708.20794971811
12/2013,41544.55303760087
01/2014,42039.87150008686
02/2014,44234.99393585269
03/2014,44265.501097547494
04/2014,45907.60962051703
05/2014,47242.009380477866
06/2014,47835.46348088373
07/2014,48130.674067874235
08/2014,49155.06585284968
09/2014,46016.57824171312
10/2014,49195.43363390869
11/2014,49939.01934526159
12/2014,50352.81109549453
01/2015,53317.414967705256
02/2015,52509.59853449774
03/2015,52297.23073764666
04/2015,51241.17442319536
05/2015,50507.534939911246
06/2015,48616.92266632977
07/2015,50385.967752633325
08/2015,47312.253367654725
09/2015,48070.38038311514
10/2015,50892.18009254141
11/2015,49913.00780127284
12/2015,50479.21151872148
