Date,MarketVector Global Defense Industry
12/2020,10000
01/2021,10180.400436341333
02/2021,9749.173335533374
03/2021,10553.164503411073
04/2021,10643.93974507532
05/2021,10593.330111741609
06/2021,10767.17273631242
07/2021,10616.566932555934
08/2021,10557.684519427976
09/2021,10504.05636090428
10/2021,10647.160755333121
11/2021,9957.620249677846
12/2021,10350.067234864828
01/2022,9862.997660563591
02/2022,10917.563210926726
03/2022,11887.649184085016
04/2022,11766.305929397933
05/2022,11540.559123963654
06/2022,11789.351054322466
07/2022,12390.8463226453
08/2022,11719.17348950226
09/2022,11089.97265114141
10/2022,12342.665442766212
11/2022,12021.109300788108
12/2022,11818.056525719714
01/2023,12106.639056586357
02/2023,12603.457547791697
03/2023,12564.037121839083
04/2023,12563.219879792367
05/2023,13330.397481980719
06/2023,14269.413546843365
07/2023,14826.391499591764
08/2023,14676.536023187336
09/2023,14618.520832546727
10/2023,14780.78292682927
11/2023,15502.030299149212
12/2023,15572.065574660635
01/2024,16129.622007935777
02/2024,18438.35064659154
03/2024,19341.89275737675
04/2024,19094.811737264416
05/2024,19873.434049023224
06/2024,19729.314946286784
07/2024,20350.05051717769
08/2024,21214.651997835303
09/2024,21212.850080385855
10/2024,22768.782990259144
