Date,FTSE Eurozone Government Bill 0-6 Month Capped
06/2011,10000
07/2011,10013.035068539231
08/2011,10032.377428307123
09/2011,10035.320830880499
10/2011,10041.628122109158
11/2011,10036.58228912623
12/2011,10088.302077201244
01/2012,10093.768396266083
02/2012,10103.86006223194
03/2012,10107.223950887226
04/2012,10108.064923051048
05/2012,10105.121520477673
06/2012,10107.223950887226
07/2012,10125.304852409385
08/2012,10129.930199310404
09/2012,10131.612143638045
10/2012,10138.760407030528
11/2012,10144.226726095367
12/2012,10147.590614750652
01/2013,10150.534017324027
02/2013,10150.954503405937
03/2013,10152.636447733581
04/2013,10157.682280716508
05/2013,10156.420822470776
06/2013,10151.79547556976
07/2013,10153.477419897401
08/2013,10154.318392061223
09/2013,10157.682280716508
10/2013,10161.046169371793
11/2013,10161.466655453705
12/2013,10160.625683289883
01/2014,10166.512488436632
02/2014,10167.353460600454
03/2014,10167.353460600454
04/2014,10168.194432764276
05/2014,10171.137835337651
06/2014,10173.240265747205
07/2014,10173.240265747205
08/2014,10172.819779665293
09/2014,10171.978807501471
10/2014,10169.876377091918
11/2014,10169.455891010008
12/2014,10169.035404928098
01/2015,10168.194432764276
02/2015,10166.932974518544
03/2015,10165.671516272812
04/2015,10163.148599781347
05/2015,10160.205197207973
06/2015,10156.841308552686
07/2015,10155.159364225045
08/2015,10152.636447733581
09/2015,10148.852072996384
10/2015,10149.272559078296
11/2015,10145.908670423009
12/2015,10143.806240013455
01/2016,10138.760407030528
02/2016,10135.817004457153
03/2016,10129.089227146582
04/2016,10129.089227146582
05/2016,10124.463880245565
06/2016,10120.259019426458
07/2016,10114.372214279707
08/2016,10107.223950887226
09/2016,10102.59860398621
10/2016,10099.655201412834
11/2016,10090.82499369271
12/2016,10086.620132873602
01/2017,10076.107980825835
02/2017,10074.005550416281
03/2017,10062.231940122781
04/2017,10058.868051467496
05/2017,10052.560760238837
06/2017,10046.253469010177
07/2017,10039.525691699606
08/2017,10030.27499789757
09/2017,10027.331595324194
10/2017,10021.024304095536
11/2017,10015.978471112607
12/2017,10009.671179883946
01/2018,10002.522916491464
02/2018,9996.636111344715
03/2018,9989.487847952232
04/2018,9982.760070641662
05/2018,9973.509376839627
06/2018,9969.72500210243
07/2018,9962.57673870995
08/2018,9957.11041964511
09/2018,9952.905558826003
10/2018,9952.064586662182
11/2018,9944.49583718779
12/2018,9943.234378942057
01/2019,9933.983685140021
02/2019,9929.358338239004
03/2019,9925.153477419897
04/2019,9920.10764443697
05/2019,9915.482297535951
06/2019,9911.277436716846
07/2019,9906.231603733917
08/2019,9902.02674291481
09/2019,9894.878479522327
10/2019,9888.991674375578
11/2019,9884.366327474561
12/2019,9879.740980573542
01/2020,9873.433689344884
02/2020,9866.285425952401
03/2020,9851.147927003616
04/2020,9857.034732150367
05/2020,9852.82987133126
06/2020,9851.147927003616
07/2020,9846.522580102599
08/2020,9842.317719283492
09/2020,9835.16945589101
10/2020,9831.805567235724
11/2020,9826.339248170885
12/2020,9821.293415187958
01/2021,9810.36077705828
02/2021,9806.155916239173
03/2021,9801.110083256244
04/2021,9795.223278109495
05/2021,9789.336472962745
06/2021,9783.870153897906
07/2021,9777.562862669245
08/2021,9770.835085358674
09/2021,9764.948280211926
10/2021,9758.220502901355
11/2021,9758.220502901355
12/2021,9745.185434362123
01/2022,9737.19619880582
02/2022,9732.570851904802
03/2022,9724.161130266588
04/2022,9718.274325119839
05/2022,9710.705575645447
06/2022,9703.977798334876
07/2022,9695.988562778572
08/2022,9691.363215877554
09/2022,9673.702800437306
10/2022,9687.158355058447
11/2022,9694.30661845093
12/2022,9705.239256580608
01/2023,9709.023631317803
02/2023,9723.740644184678
03/2023,9753.595156000336
04/2023,9769.573627112943
05/2023,9791.438903372298
06/2023,9811.622235304012
07/2023,9831.805567235724
08/2023,9866.285425952401
09/2023,9894.878479522327
10/2023,9919.687158355058
11/2023,9950.382642334538
12/2023,9988.2263897065
01/2024,10009.671179883946
02/2024,10044.992010764445
03/2024,10075.267008662013
04/2024,10102.59860398621
05/2024,10134.97603229333
06/2024,10164.83054410899
07/2024,10196.367000252292
08/2024,10224.539567740308
09/2024,10260.701370784627
