Date,MSCI Europe Quality
06/2022,137020.85441232088
07/2022,151450.83036520207
08/2022,141535.68289707613
09/2022,134095.2488697508
10/2022,138912.2117837372
11/2022,148390.5284178065
12/2022,142798.92091187922
01/2023,151814.70815648025
02/2023,151371.19525980105
03/2023,156512.48043153828
04/2023,160109.81086429697
05/2023,155566.84341174946
06/2023,159679.3695609313
07/2023,161893.5339088483
08/2023,156146.0959307327
09/2023,152711.25739637506
10/2023,146962.00024428623
11/2023,157352.7429797016
12/2023,164750.91089446866
01/2024,168517.22636651908
02/2024,172224.93318033643
03/2024,174776.69403387664
04/2024,172353.5944414628
05/2024,178411.4652775507
06/2024,179829.21770186658
07/2024,178872.14047860887
08/2024,183922.86378533396
09/2024,180260.8692873555
10/2024,171288.35929264818
