Date,Bloomberg Barclays Euro Treasury 50bn 5-7 Year Bond
10/2012,10000
11/2012,10139.357541986523
12/2012,10203.383031634472
01/2013,10164.677799335563
02/2013,10223.735883683785
03/2013,10284.066995540748
04/2013,10546.98614634313
05/2013,10439.069785809228
06/2013,10260.788778236554
07/2013,10378.8841628104
08/2013,10322.450073939563
09/2013,10419.496338357245
10/2013,10574.935595200128
11/2013,10641.392827191476
12/2013,10555.75704607735
01/2014,10800.183523802498
02/2014,10853.344113364954
03/2014,10964.118290755358
04/2014,11062.900029409515
05/2014,11156.95338017386
06/2014,11300.976957682538
07/2014,11380.756812256028
08/2014,11511.05247679191
09/2014,11573.67503816486
10/2014,11572.713772494917
11/2014,11687.714282642548
12/2014,11752.820471774909
01/2015,11838.525610788332
02/2015,11918.297836620355
03/2015,11947.03246254528
04/2015,11880.102759816906
05/2015,11806.149152866756
06/2015,11658.002959976715
07/2015,11827.667652339036
08/2015,11759.376808407867
09/2015,11879.666363400771
10/2015,11987.4822541655
11/2015,12062.241116407326
12/2015,11986.68738926464
01/2016,12138.594903646243
02/2016,12199.352714203465
03/2016,12229.65628914832
04/2016,12156.357276822408
05/2016,12232.778601601913
06/2016,12347.836594796443
07/2016,12396.61947988684
08/2016,12396.671431841161
09/2016,12419.842003460224
10/2016,12258.894849029966
11/2016,12158.175595222974
12/2016,12236.456799966547
01/2017,12067.327212733551
02/2017,12161.308298067459
03/2017,12108.301719092207
04/2017,12169.542682824438
05/2017,12235.693106238294
06/2017,12168.306226312076
07/2017,12193.840611851925
08/2017,12275.145420335894
09/2017,12244.192445962251
10/2017,12333.949837411303
11/2017,12352.751249673516
12/2017,12274.948002909505
01/2018,12180.016196811925
02/2018,12205.888270054715
03/2018,12355.86836693166
04/2018,12332.682209726332
05/2018,12142.631570495601
06/2018,12231.838271228982
07/2018,12199.472203698298
08/2018,12112.187725274052
09/2018,12103.600067227793
10/2018,12106.97694425747
11/2018,12191.383284413389
12/2018,12293.349385123565
01/2019,12405.903294120762
02/2019,12382.275545303777
03/2019,12520.415791795145
04/2019,12532.177714249317
05/2019,12600.239969581487
06/2019,12775.660938480536
07/2019,12932.11424886359
08/2019,13087.460982620085
09/2019,13051.702452473382
10/2019,12953.539234818123
11/2019,12858.20739867239
12/2019,12807.077762042667
01/2020,12990.6669094197
02/2020,12985.770958825378
03/2020,12776.235073280399
04/2020,12794.837885556903
05/2020,12847.91934990467
06/2020,12947.206347986095
07/2020,13022.103592187903
08/2020,12973.225085427493
09/2020,13066.11314808149
10/2020,13147.634325440205
11/2020,13155.797243067134
12/2020,13170.278096938851
01/2021,13136.366439146026
02/2021,13005.804756661615
03/2021,13065.15915770836
04/2021,12991.305902971515
05/2021,12991.845897522378
06/2021,13024.452568484072
07/2021,13168.253117373259
08/2021,13117.781626687905
09/2021,13018.080632784142
10/2021,12865.964167812002
11/2021,13053.801272322347
12/2021,12932.2831486087
01/2022,12804.911116845458
02/2022,12636.954892363186
03/2022,12352.992532055696
04/2022,12077.753064209957
05/2022,11953.21348402173
06/2022,11804.105590387808
07/2022,12177.858789603071
08/2022,11646.937107645592
09/2022,11276.448355670089
10/2022,11320.05957801145
11/2022,11451.42765967251
12/2022,11080.514651954602
01/2023,11295.57244375104
02/2023,11079.83155880975
03/2023,11331.448513718244
04/2023,11345.796439730217
05/2023,11408.357601900278
06/2023,11307.60712297752
07/2023,11352.204285424563
08/2023,11398.68584896078
09/2023,11186.613057208499
10/2023,11277.780162304802
11/2023,11530.064280517974
12/2023,11871.740001645443
01/2024,11838.733552880281
02/2024,11674.477821261851
03/2024,11779.399488324827
04/2024,11641.103546188013
05/2024,11636.446092927701
06/2024,11677.55174041368
07/2024,11919.27824457738
08/2024,11975.896406388154
09/2024,12148.50216421024
