Date,FTSE Emerging
03/2005,10000
04/2005,9787.061455485553
05/2005,10619.187043414491
06/2005,11214.020364167684
07/2005,11974.509795565898
08/2005,11891.330408718186
09/2005,13282.168771069286
10/2005,12514.713819308441
11/2005,13791.57449125038
12/2005,14710.022648483222
01/2006,15888.8201560316
02/2006,16184.40474730675
03/2006,16100.305669248357
04/2006,16555.57899068882
05/2006,14564.692882649919
06/2006,14583.846576007709
07/2006,14809.251658283256
08/2006,15226.474618626393
09/2006,15487.658873130918
10/2006,16099.769580536127
11/2006,16637.10186503659
12/2006,17517.300266173508
01/2007,17592.910116775165
02/2007,17248.561652696684
03/2007,17810.293312864644
04/2007,18301.06710850965
05/2007,19580.298184162464
06/2007,20284.190251009757
07/2007,21036.93810941396
08/2007,20602.65187873295
09/2007,21821.69152945658
10/2007,23757.630118002275
11/2007,21854.653175269996
12/2007,22076.743467411718
01/2008,19243.81281351786
02/2008,20073.992584970645
03/2008,18298.413133626178
04/2008,20067.434913555873
05/2008,20557.125740638963
06/2008,18221.191963406825
07/2008,17772.57051457675
08/2008,17375.25462236055
09/2008,15093.787713082193
10/2008,12054.34594790939
11/2008,11132.915370984727
12/2008,10938.284755577699
01/2009,11107.159258684456
02/2009,10536.562201361967
03/2009,11600.532309682021
04/2009,13700.438771678395
05/2009,15045.926069880243
06/2009,14944.139439318002
07/2009,16411.208013726216
08/2009,16264.24471811099
09/2009,17442.049489108587
10/2009,17440.012919904897
11/2009,17945.70130019317
12/2009,19347.426864036122
01/2010,18862.888275094105
02/2010,19294.46093707646
03/2010,21022.871426419897
04/2010,21603.932542372146
05/2010,21519.73777670949
06/2010,21414.21420156575
07/2010,21803.598853529224
08/2010,21964.956114707842
09/2010,22688.36767080379
10/2010,22966.676557624945
11/2010,23831.716971577644
12/2010,24791.956046557014
01/2011,23348.483013544494
02/2011,23233.593338906172
03/2011,23704.71007543625
04/2011,23189.166293026257
05/2011,23304.311351227316
06/2011,22811.219878668002
07/2011,22875.392192643394
08/2011,21048.548884790987
09/2011,19331.203151009046
10/2011,20887.98548966799
11/2011,20216.161940398113
12/2011,20763.600739572383
01/2012,22985.36077685766
02/2012,23849.42614763502
03/2012,23023.93435758727
04/2012,22776.379452461853
05/2012,21694.294909842713
06/2012,21992.440647982225
07/2012,23081.542505394165
08/2012,22510.875297157392
09/2012,23364.94260504447
10/2012,23125.55647698442
11/2012,23244.606240581146
12/2012,24113.110290032335
01/2013,23945.55269310833
02/2013,24264.678797380944
03/2013,24368.19849749467
04/2013,24090.51009104167
05/2013,23774.742686361198
06/2013,22249.56930559497
07/2013,21917.153050018762
08/2013,21455.129102006744
09/2013,22311.78868954005
10/2013,23363.798498695887
11/2013,22829.36436265883
12/2013,22263.27723884323
01/2014,21228.914585959184
02/2014,21355.734510069982
03/2014,22237.587798692948
04/2014,22198.081231253316
05/2014,23415.68920459635
06/2014,24098.31347326248
07/2014,25180.790052092343
08/2014,26352.877008539916
09/2014,25520.06727309989
10/2014,26288.623551800276
11/2014,26226.46835760806
12/2014,25746.623037898855
01/2015,27816.388889557908
02/2015,28944.438634936676
03/2015,29564.004400127404
04/2015,30585.17216365013
05/2015,30953.584284463584
06/2015,29069.716495469253
07/2015,27320.251201404863
08/2015,24404.250649713897
09/2015,23220.770346338482
10/2015,25363.987765817183
11/2015,25549.348867238325
12/2015,24313.43907629431
01/2016,21872.84799038322
02/2016,22736.959715524437
03/2016,24589.568115478876
04/2016,24693.312670404503
05/2016,24486.758462742248
06/2016,25692.87713570379
07/2016,26814.32949169251
08/2016,27419.507405855915
09/2016,27455.982481668285
10/2016,28531.159517413027
11/2016,28067.02523683663
12/2016,28405.92784650857
01/2017,29035.605084729403
02/2017,30703.65309172125
03/2017,30902.19631415873
04/2017,30938.471060333886
05/2017,30433.391152882785
06/2017,30173.962116744104
07/2017,30927.113341011933
08/2017,31566.357088649558
09/2017,31249.844680047536
10/2017,32700.346951690502
11/2017,32020.082025961376
12/2017,33095.50994855131
01/2018,34690.222591175494
02/2018,33986.57385529432
03/2018,32787.72480334902
04/2018,33085.99647646742
05/2018,33010.65792100706
06/2018,31333.142069943126
07/2018,32748.715414798204
08/2018,31829.448319488147
09/2018,31608.52943551893
10/2018,30058.028086085542
11/2018,31330.81737187814
12/2018,30231.18801288558
01/2019,32605.285431838493
02/2019,33026.72951894915
03/2019,33991.95165377069
04/2019,34853.575531875955
05/2019,32878.96028536784
06/2019,33967.46053128069
07/2019,34583.63167956572
08/2019,33417.24603076873
09/2019,34180.09214926092
10/2019,34806.64455431431
11/2019,35319.06445523711
12/2019,37118.388540256194
01/2020,35885.853064337265
02/2020,34380.33583758617
03/2020,28786.09878256277
04/2020,31515.043948511287
05/2020,31335.430849937147
06/2020,33315.99810045351
07/2020,34510.23885045024
08/2020,34879.903872500574
09/2020,34886.439212187506
10/2020,35963.64719226264
11/2020,37890.99303947442
12/2020,39328.48890216008
01/2021,40904.398902522225
02/2021,41396.825104770964
03/2021,42099.12305419841
04/2021,42156.79343007746
05/2021,42587.191001380874
06/2021,43915.43417326513
07/2021,41036.96154581798
08/2021,42608.23202927118
09/2021,41816.0256392318
10/2021,42503.46281238786
11/2021,42074.837949841
12/2021,42349.06004260902
01/2022,42791.66719573663
02/2022,41297.914635185174
03/2022,41145.110932472315
04/2022,40361.7812203877
05/2022,40397.58055437724
06/2022,39229.869544099165
07/2022,40263.14320250169
08/2022,40981.79968316764
09/2022,37613.77465361469
10/2022,35789.71020775389
11/2022,39180.37248858347
12/2022,37492.28917483642
