Date,MSCI World Enhanced Value
11/1997,10000
12/1997,10161.918703903537
01/1998,10420.135253703525
02/1998,11714.57394131067
03/1998,12168.845510367288
04/1998,11766.746001800866
05/1998,11214.716472124974
06/1998,10905.296363220485
07/1998,10493.484296598814
08/1998,8998.642628098783
09/1998,8641.433536039653
10/1998,9872.099870073793
11/1998,10659.911905791334
12/1998,10850.438056098106
01/1999,11366.957090827133
02/1999,11284.988359964378
03/1999,12365.549868444827
04/1999,13719.918925077136
05/1999,13559.102304770939
06/1999,14462.65223795659
07/1999,14245.311461383802
08/1999,14464.609894639252
09/1999,14113.529684923065
10/1999,14973.698048721435
11/1999,16208.84653225431
12/1999,17724.604162718584
01/2000,16960.87959846874
02/2000,16734.42082130872
03/2000,17697.46607816102
04/2000,18577.00863028842
05/2000,17863.287617783015
06/2000,17832.503764158482
07/2000,18067.89126105661
08/2000,19614.453089598115
09/2000,19218.558184041547
10/2000,20054.324160903303
11/2000,18955.317463017323
12/2000,18635.929851301804
01/2001,19490.072900287643
02/2001,19058.631737815263
03/2001,19140.51721041668
04/2001,20000.26697481787
05/2001,20783.753845711148
06/2001,20590.846588319982
07/2001,20077.966651045288
08/2001,18650.76054632607
09/2001,16801.939571296818
10/2001,16793.60188425258
11/2001,18310.713523988175
12/2001,18700.14676837325
01/2002,18919.242332384074
02/2002,18786.058878715517
03/2002,19788.62164680907
04/2002,19591.764845791135
05/2002,19200.560320974393
06/2002,16703.19754082942
07/2002,15547.740634501826
08/2002,15520.129525239608
09/2002,13719.583758092569
10/2002,13899.426211172684
11/2002,14471.634516550042
12/2002,13267.479050504446
01/2003,12786.467018432282
02/2003,12359.233691604815
03/2003,12015.862298392567
04/2003,12738.602728357602
05/2003,13117.775745833476
06/2003,14148.845444372506
07/2003,14957.690661525476
08/2003,16271.451661720082
09/2003,15845.58578255037
10/2003,17148.123788911864
11/2003,16858.24400858195
12/2003,17192.4217944864
01/2004,18028.426372869028
02/2004,18387.964602771932
03/2004,19155.80716863068
04/2004,19229.03007542609
05/2004,18917.795344595885
06/2004,19724.572584038495
07/2004,19298.116920132907
08/2004,19184.5209385397
09/2004,19307.5782042789
10/2004,19249.198944205666
11/2004,19924.467178605264
12/2004,20416.853178757603
01/2005,21018.88774914388
02/2005,21649.075706406573
03/2005,21706.0816246613
04/2005,21125.633436877524
05/2005,22651.424250719465
06/2005,23549.040361379626
07/2005,24468.128223247342
08/2005,24952.34302213553
09/2005,26412.28607685159
10/2005,25530.3348715635
11/2005,26775.83261863407
12/2005,27524.29271883192
01/2006,28490.595094204287
02/2006,29064.563148157406
03/2006,29353.458109951098
04/2006,29669.205850018905
05/2006,27937.570401989164
06/2006,28205.567813984177
07/2006,28613.060229262734
08/2006,29336.32779218916
09/2006,30190.874132964145
10/2006,31256.938028060817
11/2006,31061.708877110515
12/2006,32147.65306602459
01/2007,33128.43634693699
02/2007,32695.664020200475
03/2007,33270.36870314758
04/2007,34410.008611419165
05/2007,35953.48320526856
06/2007,35777.24951778873
07/2007,34125.413792393854
08/2007,33993.283943657225
09/2007,34289.47868861812
10/2007,34604.335377009724
11/2007,32084.770423061495
12/2007,31567.422359298114
01/2008,28660.396896778257
02/2008,28142.575336058948
03/2008,26766.44305906163
04/2008,28565.424831730637
05/2008,29069.90671302974
06/2008,26021.974297141645
07/2008,25481.129305968847
08/2008,26602.21415549908
09/2008,23311.79706576743
10/2008,20679.923711635918
11/2008,19584.2456969238
12/2008,19020.186990523627
01/2009,18610.666219172377
02/2009,16511.955430103048
03/2009,17052.213438745275
04/2009,19990.313843375785
05/2009,21218.87186003505
06/2009,21040.563567728404
07/2009,23017.527319285753
08/2009,24575.041567381053
09/2009,25021.55665387585
10/2009,23882.56667563108
11/2009,24249.88427082274
12/2009,25925.065797229883
01/2010,25661.57322616238
02/2010,26573.518388520755
03/2010,28596.0747959499
04/2010,28549.913740523676
05/2010,27667.197754134886
06/2010,26523.44490747477
07/2010,27411.002435292165
08/2010,26884.984280759774
09/2010,27587.91130866625
10/2010,28336.06209429328
11/2010,28763.516630209102
12/2010,30351.385624213104
01/2011,31100.566027424946
02/2011,31887.587689345426
03/2011,30452.44381244894
04/2011,30528.063590258924
05/2011,30588.09685705001
06/2011,30004.087196679764
07/2011,29378.447965175255
08/2011,25846.875188050053
09/2011,25136.587452197164
10/2011,26773.474114031393
11/2011,26921.65134788264
12/2011,27718.73813955014
01/2012,29000.99546568099
02/2012,29938.295839883118
03/2012,30119.887968791973
04/2012,29304.54284557727
05/2012,27713.520873173387
06/2012,29019.1797556518
07/2012,29434.957493560116
08/2012,29571.626951817812
09/2012,29674.50147836085
10/2012,29745.376455307796
11/2012,30085.19654382534
12/2012,31064.149838536337
01/2013,32052.291695765594
02/2013,32608.750625664426
03/2013,34004.14702109568
04/2013,34809.686269197184
05/2013,35640.45819544551
06/2013,34337.9427572296
07/2013,36049.929633958156
08/2013,35524.91772680813
09/2013,36759.81460309594
10/2013,37944.18462217737
11/2013,39016.74166068158
12/2013,39205.371993637746
01/2014,38848.29731646392
02/2014,39845.52288137102
03/2014,40252.45548250723
04/2014,40547.51602201048
05/2014,41962.11868357803
06/2014,42793.500287842035
07/2014,43347.93690129233
08/2014,44182.56083792967
09/2014,45048.088405373936
10/2014,44632.34093515598
11/2014,45678.46687615963
12/2014,46307.76648378584
01/2015,48692.02031530147
02/2015,52223.55732110447
03/2015,53849.55532747358
04/2015,53289.53234108428
05/2015,55139.61187120431
06/2015,52574.0656905041
07/2015,53855.55890359485
08/2015,48911.70768970905
09/2015,46355.425840559175
10/2015,50994.70213594188
11/2015,52151.461084728304
12/2015,49949.32093899634
01/2016,45590.70249757908
02/2016,45175.26901326697
03/2016,45894.13737704891
04/2016,47342.849370829485
05/2016,48264.98976463975
06/2016,46589.987817711895
07/2016,49176.65144932761
08/2016,50028.73833055649
09/2016,50037.1815293569
10/2016,51191.72706305697
11/2016,53645.67617191391
12/2016,55785.16215441736
01/2017,55935.51139202706
02/2017,57882.364440011166
03/2017,57600.2583358052
04/2017,56767.33510509011
05/2017,55782.53321809659
06/2017,55455.91631579475
07/2017,55565.79971916646
08/2017,54927.0741211479
09/2017,56849.94399643748
10/2017,59101.18597096722
11/2017,59556.45026322545
12/2017,59892.23619439954
01/2018,60713.441223156915
02/2018,59640.0978473682
03/2018,57783.344276377036
04/2018,60144.854336847144
05/2018,60565.4551083824
06/2018,59545.10872309785
07/2018,60772.82384909974
08/2018,60633.99154851743
09/2018,62106.938821370924
10/2018,58918.64989079106
11/2018,58933.03896201061
12/2018,53993.676404344216
01/2019,58464.51550902754
02/2019,59363.86348925014
03/2019,59944.61621167395
04/2019,61092.71969660169
05/2019,56438.85624466856
06/2019,59093.62059930765
07/2019,60099.396598383406
08/2019,58205.768506982786
09/2019,61801.70296971088
10/2019,62679.6641965862
11/2019,64864.816510721714
12/2019,65482.71097015773
01/2020,64251.36057291464
02/2020,58649.95737260672
03/2020,49151.94521591724
04/2020,53060.21336833668
05/2020,53363.831562626976
06/2020,53419.07650838874
07/2020,49495.85960054248
08/2020,51795.596974153574
09/2020,51116.820454961926
10/2020,49389.69329215307
11/2020,56374.83781534652
12/2020,57569.49033989064
01/2021,58943.32568886189
02/2021,62616.10513080723
03/2021,68397.33776027818
04/2021,67043.57154209308
05/2021,68514.10323569206
06/2021,69234.8966446976
07/2021,68778.35408884227
08/2021,69862.02872759827
09/2021,70374.10471439023
10/2021,70407.12215945704
11/2021,69767.06641809252
12/2021,74871.84342000075
01/2022,75989.89522799912
02/2022,74566.10719186733
03/2022,75429.09008796084
04/2022,74764.7654536427
05/2022,76260.19985774795
06/2022,70789.30152823227
07/2022,74227.9952103116
08/2022,72858.91836591829
09/2022,67475.74732039843
10/2022,71749.43860164563
11/2022,74860.04225037774
12/2022,71643.08642958867
