Date,MSCI Emerging Markets Select Value Factor Focus
12/2018,10000
01/2019,10935.70353525877
02/2019,10946.426751686233
03/2019,11036.371809424618
04/2019,11204.415317819214
05/2019,10538.699274139763
06/2019,11043.382129814183
07/2019,11071.697807422112
08/2019,10485.24310362783
09/2019,10984.398422076978
10/2019,11048.791980341111
11/2019,11233.473489005326
12/2019,11908.08186497225
01/2020,11295.213252785266
02/2020,10651.502514795691
03/2020,9206.324319171492
04/2020,10025.34699588311
05/2020,9697.394421389943
06/2020,10123.222296951742
07/2020,10331.834367058269
08/2020,10350.574282449923
09/2020,10417.130793098631
10/2020,10484.713841727527
11/2020,11388.482699918875
12/2020,11788.061172354533
01/2021,12335.014048970537
02/2021,12879.628920678975
03/2021,13564.420213341558
04/2021,13742.658939288758
05/2021,13784.993989791143
06/2021,13789.425625715015
07/2021,13050.011485650964
08/2021,13364.576996111797
09/2021,13215.058547850063
10/2021,13071.781480329999
11/2021,12882.982925005192
12/2021,13560.822300618185
01/2022,13702.375966288606
02/2022,13585.704949236655
03/2022,13478.50176932104
04/2022,13387.27055082958
05/2022,13408.063426861043
06/2022,12250.22449575386
07/2022,12619.536272109743
08/2022,12713.718512983052
09/2022,11539.011834441333
10/2022,11228.949551162923
11/2022,12485.051388538137
12/2022,12055.209642396712
01/2023,12775.13832922098
02/2023,12456.401222571116
03/2023,12464.08968024789
04/2023,12532.606893333555
05/2023,12551.592842352728
06/2023,12910.729517693142
07/2023,13543.574008199694
08/2023,13024.023636528578
09/2023,13407.43269501385
10/2023,12728.971019268805
11/2023,13393.85911293365
12/2023,13967.752195863037
01/2024,13836.677077449918
02/2024,14613.008809197885
03/2024,14915.384201854788
04/2024,15518.039874853142
05/2024,15785.642339293721
06/2024,16654.83218535924
07/2024,16195.96605915311
08/2024,16020.405159901584
09/2024,16721.29100880298
10/2024,16539.300761962117
