Date,MSCI World Consumer Staples
03/2016,10000
04/2016,9953.297689309176
05/2016,10237.02653560393
06/2016,10623.13444501102
07/2016,10637.930861939265
08/2016,10528.471232285967
09/2016,10505.81925237119
10/2016,10345.895344789311
11/2016,10104.645837890603
12/2016,10498.252536209813
01/2017,10461.280668838572
02/2017,11079.831030427229
03/2017,11084.497542146299
04/2017,11022.952756897505
05/2017,11226.748733846867
06/2017,10792.037017715747
07/2017,10561.95692416226
08/2017,10455.394435642775
09/2017,10383.90664336764
10/2017,10528.00248643632
11/2017,10722.57062702333
12/2017,10773.953471364906
01/2018,10574.966367635805
02/2018,10038.882003963965
03/2018,9953.527129391558
04/2018,9949.878681689377
05/2018,10139.381873776374
06/2018,10443.668823561367
07/2018,10675.294531477995
08/2018,10690.083234977323
09/2018,10790.446372477607
10/2018,10874.378474569237
11/2018,10990.971811557756
12/2018,10133.86791155436
01/2019,10640.982405721374
02/2019,10954.163103099008
03/2019,11606.335570016403
04/2019,11829.20159821641
05/2019,11525.260744944231
06/2019,11775.826536233997
07/2019,12199.952811782825
08/2019,12552.7366718612
09/2019,12800.037981949918
10/2019,12456.253835160049
11/2019,12747.308698748984
12/2019,12727.442403084608
01/2020,12930.585284804898
02/2020,11877.760604226045
03/2020,11313.100603759089
04/2020,12075.653150349095
05/2020,12023.068441988407
06/2020,12027.839383908207
07/2020,12025.449167960413
08/2020,12308.78251449632
09/2020,12370.416130813112
10/2020,11901.999813643584
11/2020,12541.301761115896
12/2020,12559.005342078233
01/2021,12160.674378825894
02/2021,11867.539980342068
03/2021,13069.952273532475
04/2021,13066.197581776865
05/2021,13342.057822292261
06/2021,13642.091049114073
07/2021,13805.325737419502
08/2021,13994.154054440403
09/2021,13740.367195254708
10/2021,14121.761819849426
11/2021,14137.214190253715
12/2021,15383.450078900085
01/2022,15142.838596190513
02/2022,14970.83126821827
03/2022,15132.387385157204
04/2022,16057.025417293531
05/2022,15195.225192736665
06/2022,15135.935659714727
07/2022,16017.750697217623
08/2022,15880.71732112268
09/2022,15024.676499250341
10/2022,15622.393166287395
11/2022,16030.326180468772
12/2022,15334.970914681378
01/2023,15257.479607175323
02/2023,15202.940022118295
03/2023,15561.015716940583
04/2023,16057.347356493012
05/2023,15400.091339580202
06/2023,15626.368583695823
07/2023,15688.245861230485
08/2023,15382.271404968733
09/2023,15000.560462637159
10/2023,14714.482220966254
11/2023,14907.279227132272
12/2023,15143.850440832142
01/2024,15529.752087841549
02/2024,15609.968158625656
03/2024,15996.580808122857
04/2024,15939.075191843627
05/2024,16187.743719849434
06/2024,16170.392980720333
07/2024,16411.70236089672
08/2024,16890.585615323398
09/2024,16888.613109429418
10/2024,16579.78964514194
