Fund,ISIN,Tickers,Index
iShares MSCI Global Semiconductors UCITS ETF USD (Acc),IE000I8KRLL9,"SEC0
SEME
SEMI",MSCI ACWI IMI Semiconductors & Semiconductor Equipment ESG Screened Select Capped
Xtrackers MSCI AC World ESG Screened UCITS ETF 1C,IE00BGHQ0G80,XMAW,MSCI ACWI Select ESG Screened
Amundi MSCI Semiconductors ESG Screened UCITS ETF Acc,LU1900066033,"CHIP
LSMC
LTWN
SEMG
SEMU",MSCI ACWI Semiconductors & Semiconductor Equipment ESG Filtered
iShares MSCI Australia UCITS ETF,IE00B5377D42,"IAUS
IBC6
SAUS",MSCI Australia
UBS ETF (IE) MSCI Australia UCITS ETF (AUD) A-dis,IE00BD4TY345,"AUAD
AUSAUY",MSCI Australia
HSBC MSCI Canada UCITS ETF USD,DE000A1JF7N6,H4ZR,MSCI Canada
HSBC MSCI Canada UCITS ETF USD,IE00B51B7Z02,"H4ZR
H4ZX
HCAD
HCAN",MSCI Canada
iShares MSCI Canada UCITS ETF (Acc),IE00B52SF786,"CCAU
CSCA
SXR2",MSCI Canada
UBS ETF (LU) MSCI Canada UCITS ETF (CAD) A-dis,LU0446734872,"CANCDA
CANEUA
UB23
UIM9",MSCI Canada
Xtrackers MSCI Canada UCITS ETF 1C,LU0476289540,"D5BH
XCAD
XCAN",MSCI Canada
Lyxor MSCI Canada UCITS ETF - Dist,LU0496786731,"CAN
LCAN
LYPT",MSCI Canada
UBS ETF (LU) MSCI Canada UCITS ETF (CAD) A-acc,LU0950672807,CANA,MSCI Canada
Deka MSCI China UCITS ETF,DE000ETFL326,EL46,MSCI China
HSBC MSCI China UCITS ETF USD (Acc),IE0007P4PBU1,"H4Z6
HCHA
HCHS",MSCI China
HSBC MSCI China UCITS ETF USD,IE00B44T3H88,"CNY
H4ZP
H4ZY
HMCD
HMCH",MSCI China
iShares MSCI China UCITS ETF USD (Acc),IE00BJ5JPG56,"ICGA
ICHN",MSCI China
iShares MSCI China UCITS ETF USD (Dist),IE00BL977C92,ICHD,MSCI China
Xtrackers MSCI China UCITS ETF 1C,LU0514695690,"XCS6
XCX6
XMCH",MSCI China
Amundi MSCI China UCITS ETF Acc,LU1841731745,"L4K3
LCCN",MSCI China
Xtrackers MSCI China UCITS ETF 1D,LU2456436083,"XCS7
XCX7",MSCI China
Amundi MSCI China A UCITS ETF Acc,FR0011720911,"CNAA
CNAL",MSCI China A
L&G E Fund MSCI China A UCITS ETF,IE00BHBFDF83,"CASE
CASH",MSCI China A
UBS ETF (IE) MSCI China A SF UCITS ETF (USD) A-acc,IE00BKFB6K94,"CNAUA
CNUA",MSCI China A
Amundi MSCI China A II UCITS ETF Dist,LU2572256746,"C024
C025",MSCI China A
HSBC MSCI China A UCITS ETF USD (Acc),IE000Z4OYPZ6,"HCAA
HCAS",MSCI China A Inclusion
HSBC MSCI China A Inclusion UCITS ETF,IE00BF4NQ904,"H41K
HMCA
HMCT",MSCI China A Inclusion
iShares MSCI China A UCITS ETF,IE00BQT3WG13,"36BZ
CNYA
IASH",MSCI China A Inclusion
iShares MSCI EM ESG Enhanced UCITS ETF USD (Dist),IE00BHZPJ122,"EEDM
EGDM",MSCI EM ESG Enhanced Focus CTB
iShares MSCI EM ESG Enhanced UCITS ETF USD (Acc),IE00BHZPJ239,"EDG2
EDM2
EMEG",MSCI EM ESG Enhanced Focus CTB
HSBC MSCI Emerging Markets UCITS ETF USD,DE000A1JXC94,H410,MSCI Emerging Markets
Deka MSCI Emerging Markets UCITS ETF,DE000ETFL342,EL40,MSCI Emerging Markets
Amundi MSCI Emerging Markets III UCITS ETF EUR Acc,FR0010429068,"EMKT
LEM
LEMC
LYM7",MSCI Emerging Markets
Amundi MSCI Emerging Markets III UCITS ETF USD Acc,FR0010435297,"LEMD
LEML
LNY4
LYLEM",MSCI Emerging Markets
Amundi PEA MSCI Emerging EMEA ESG Leaders UCITS ETF Acc,FR0011440478,PLEM,MSCI Emerging Markets
Amundi ETF PEA MSCI Emerging Markets UCITS ETF,FR0013412020,PAEEM,MSCI Emerging Markets
Vanguard Emerging Markets Stock Index Fund - Investor Accumulation (EUR),IE0031786142,,MSCI Emerging Markets
iShares MSCI EM UCITS ETF (Dist),IE00B0M63177,"IDEM
IEEM
IEMM
IQQE",MSCI Emerging Markets
Invesco MSCI Emerging Markets UCITS ETF,IE00B3DWVS88,"EMSM
MXFP
MXFS",MSCI Emerging Markets
UBS ETF (IE) MSCI Emerging Markets SF UCITS ETF (USD) A-acc,IE00B3Z3FS74,"EGUSAS
EMGEAS",MSCI Emerging Markets
SPDR MSCI Emerging Markets UCITS ETF,IE00B469F816,"EMRD
EMRG
SPYM",MSCI Emerging Markets
iShares MSCI EM UCITS ETF (Acc),IE00B4L5YC18,"EUNM
IEMA
SEMA",MSCI Emerging Markets
HSBC MSCI Emerging Markets UCITS ETF USD,IE00B5SSQT16,"H410
HMEF
HMEM",MSCI Emerging Markets
Xtrackers MSCI Emerging Markets UCITS ETF 1C,IE00BTJRMP35,"XMME
XMMS",MSCI Emerging Markets
Xtrackers MSCI Emerging Markets Swap UCITS ETF 1C,LU0292107645,"DBX1
XMEM
XMMD",MSCI Emerging Markets
UBS ETF (LU) MSCI Emerging Markets UCITS ETF (USD) A-dis,LU0480132876,"EMMEUA
EMMUSA
UB30
UB32
UIMI",MSCI Emerging Markets
UBS ETF (LU) MSCI Emerging Markets UCITS ETF (USD) A-acc,LU0950674175,EMMUSC,MSCI Emerging Markets
Amundi ETF MSCI Emerging Markets UCITS ETF DR,LU1437017350,AEME,MSCI Emerging Markets
Amundi MSCI Emerging Markets UCITS ETF EUR (C),LU1681045370,"AEEM
AMEM",MSCI Emerging Markets
Amundi ETF MSCI Emerging Markets UCITS ETF USD,LU1681045453,"AUEG
AUEM",MSCI Emerging Markets
Amundi Index MSCI Emerging Markets UCITS ETF DR EUR (D),LU1737652583,AEMD,MSCI Emerging Markets
Amundi ETF PEA MSCI Emerging Asia UCITS ETF,FR0013412012,PAASI,MSCI Emerging Markets Asia
SPDR MSCI EM Asia UCITS ETF,IE00B466KX20,"EMAD
EMAE
EMAS
SPYA",MSCI Emerging Markets Asia
iShares MSCI EM Asia UCITS ETF (Acc),IE00B5L8K969,"CEA1
CEBL
CEMA
CSEMAS",MSCI Emerging Markets Asia
Xtrackers MSCI EM Asia Swap UCITS ETF 1C,LU0292107991,"DBX2
XMAD
XMAI
XMAS",MSCI Emerging Markets Asia
Amundi MSCI Emerging Markets Asia UCITS ETF EUR (C),LU1681044480,"AASI
AMEA",MSCI Emerging Markets Asia
Amundi ETF MSCI Emerging Markets Asia UCITS ETF USD,LU1681044563,"AASG
AASU",MSCI Emerging Markets Asia
Amundi MSCI Emerging Asia II UCITS ETF Acc,LU1781541849,"LCAL
LCAS
LCUA",MSCI Emerging Markets Asia
iShares MSCI EM ex-China UCITS ETF USD (Acc),IE00BMG6Z448,"84X0
EXCH
EXCS
MTPI",MSCI Emerging Markets ex China
Amundi MSCI Emerging Ex China UCITS ETF Acc,LU2009202107,EMXC,MSCI Emerging Markets ex China
UBS ETF (LU) MSCI Emerging Markets ex China UCITS ETF (USD) A-acc,LU2050966394,"4UBL
EMXCN",MSCI Emerging Markets ex China
iShares Core MSCI Emerging Markets IMI UCITS ETF,IE00BD45KH83,"EIMU
EMGU
IBC3",MSCI Emerging Markets IMI
iShares Core MSCI Emerging Markets IMI UCITS ETF (Acc),IE00BKM4GZ66,"EIMI
EMIM
IS3N",MSCI Emerging Markets IMI
iShares MSCI EM IMI ESG Screened UCITS ETF USD (Dist),IE00BFNM3N12,"GEDM
OM3Y
SEDM",MSCI Emerging Markets IMI ESG Screened
iShares MSCI EM IMI ESG Screened UCITS ETF USD (Acc),IE00BFNM3P36,"AYEM
SAEM
SEGM",MSCI Emerging Markets IMI ESG Screened
HSBC MSCI EM Latin America UCITS ETF USD,IE00B4TS3815,"H4ZW
H4ZZ
HMLA
HMLD",MSCI Emerging Markets Latin America
Xtrackers MSCI EM Latin America ESG Swap UCITS ETF 1C,LU0292108619,"DBX3
XMLA
XMLD",MSCI Emerging Markets Latin America
Amundi MSCI Emerging Markets Latin America UCITS ETF EUR (C),LU1681045024,"ALAT
AMEL",MSCI Emerging Markets Latin America
Amundi ETF MSCI Emerging Markets Latin America UCITS ETF USD,LU1681045297,"ALAG
ALAU",MSCI Emerging Markets Latin America
Lyxor MSCI EM Latin America UCITS ETF - Acc,LU1900066629,"LATAM
LLAM
LTM
LYLTM",MSCI Emerging Markets Latin America
iShares Edge MSCI EM Minimum Volatility UCITS ETF,IE00B8KGV557,"EMLV
EMMV
EMV
EUNZ",MSCI Emerging Markets Minimum Volatility
iShares Edge MSCI EM Value Factor UCITS ETF USD(Acc),IE00BG0SKF03,"5MVL
EMVL",MSCI Emerging Markets Select Value Factor Focus
iShares MSCI Emerging Markets Small Cap UCITS ETF,IE00B3F81G20,"EUNI
IEMS",MSCI Emerging Markets Small Cap
SPDR MSCI Emerging Markets Small Cap UCITS ETF,IE00B48X4842,"EMSD
EMSM
SPYX",MSCI Emerging Markets Small Cap
iShares MSCI EM SRI UCITS ETF USD (Dist),IE00BGDQ0T50,"36B5
SEMD",MSCI Emerging Markets SRI Select Reduced Fossil Fuels
iShares MSCI EM SRI UCITS ETF,IE00BYVJRP78,"QDVS
SUES
SUSM",MSCI Emerging Markets SRI Select Reduced Fossil Fuels
iShares Core MSCI EMU UCITS ETF EUR (Acc),IE00B53QG562,"CEMU
CEU
CEU1
CSEMU
IEMU
SXR7",MSCI EMU
SPDR MSCI EMU UCITS ETF,IE00B910VR50,"EMUE
EURO
ZPRE",MSCI EMU
iShares Core MSCI EMU UCITS ETF EUR (Dist),IE00BYXZ2585,"CEUD
ICEUD",MSCI EMU
UBS ETF (LU) MSCI EMU UCITS ETF (EUR) A-dis,LU0147308422,"EMUEUA
UB06
UIM4",MSCI EMU
Xtrackers MSCI EMU UCITS ETF 1D,LU0846194776,XD5E,MSCI EMU
UBS ETF (LU) MSCI EMU UCITS ETF (EUR) A-acc,LU0950668870,EMUAA,MSCI EMU
Amundi Index MSCI EMU UCITS ETF DR EUR (C),LU1602144575,"AMED
CMU",MSCI EMU
Amundi MSCI EMU UCITS ETF Dist,LU1646360971,"EMU
LMVF
LYMFE
MFE
MFEX",MSCI EMU
Amundi ETF MSCI EMU High Dividend UCITS ETF EUR (C),FR0010717090,"18M2
CD8",MSCI EMU High Dividend Yield
iShares MSCI EMU Small Cap UCITS ETF (Acc),IE00B3VWMM18,"CES1
CEUS
CSEMUS
SXRJ",MSCI EMU Small Cap
UBS ETF (LU) MSCI EMU Small Cap UCITS ETF (EUR) A-dis,LU0671493277,"ESCEUA
UB69
UEFD",MSCI EMU Small Cap
Amundi MSCI EMU Small Cap ESG CTB Net Zero Ambition UCITS ETF,LU1598689153,"LGWU
MMS",MSCI EMU Small Cap
HSBC MSCI Europe UCITS ETF EUR,DE000A1C22L5,H4ZE,MSCI Europe
Amundi MSCI Europe II UCITS ETF Acc,FR0010261198,"LYMEU
LYY5
MEU
MEUG",MSCI Europe
Amundi ETF PEA MSCI Europe UCITS ETF,FR0013412038,PCEU,MSCI Europe
iShares Core MSCI Europe UCITS ETF EUR (Dist),IE00B1YZSC51,"IMEU
IQQY
ISEU",MSCI Europe
iShares Core MSCI Europe UCITS ETF EUR (Acc),IE00B4K48X80,"EUNK
IMAE
IMEA
SMEA",MSCI Europe
HSBC MSCI Europe UCITS ETF EUR,IE00B5BD5K76,"H4ZE
HEU
HMEU",MSCI Europe
Invesco MSCI Europe UCITS ETF,IE00B60SWY32,"MXEU
SC0E
SMEU
SMSEUR",MSCI Europe
SPDR MSCI Europe UCITS ETF,IE00BKWQ0Q14,"ERO
EROX
SPYE",MSCI Europe
Xtrackers MSCI Europe UCITS ETF 1C,LU0274209237,"DBXA
XMED
XMEU",MSCI Europe
Xtrackers MSCI Europe UCITS ETF 1D,LU1242369327,XIEE,MSCI Europe
Amundi ETF MSCI Europe UCITS ETF DR,LU1437015735,CEU2,MSCI Europe
Amundi MSCI Europe UCITS ETF EUR (C),LU1681042609,"CEU
CEUG
CEUR
UCEU",MSCI Europe
Amundi Index MSCI Europe UCITS ETF DR EUR (D),LU1737652310,"10AI
CE2D",MSCI Europe
iShares Edge MSCI Europe Value Factor UCITS ETF EUR (Dist),IE00BG13YH41,IEDL,MSCI Europe Enhanced Value
iShares Edge MSCI Europe Value Factor UCITS ETF,IE00BQN1K901,"CEMS
IEFV
IEVL",MSCI Europe Enhanced Value
Xtrackers MSCI Europe Value UCITS ETF 1C,LU0486851024,D5BL,MSCI Europe Enhanced Value
BNP Paribas Easy MSCI Europe ex Controversial Weapons UCITS ETF,LU1291099718,"EEUE
EEUX",MSCI Europe ex Controversial Weapons
Amundi ETF MSCI Europe Growth UCITS ETF,LU1681042435,CG9,MSCI Europe Growth
iShares MSCI Europe Quality Dividend ESG UCITS ETF EUR (Dist),IE00BYYHSM20,"EQDS
EQDV
QDVX",MSCI Europe High Dividend Yield ESG Reduced Carbon Target Select
Xtrackers MSCI Europe ESG UCITS ETF 1C,IE00BFMNHK08,XZEU,MSCI Europe Low Carbon SRI Leaders
Deka MSCI Europe MC UCITS ETF,DE000ETFL292,EL43,MSCI Europe Mid Cap
iShares MSCI Europe Mid Cap UCITS ETF EUR (Acc),IE00BF20LF40,EUMD,MSCI Europe Mid Cap
iShares MSCI Europe Mid Cap UCITS ETF,IE00BYXYX745,EMID,MSCI Europe Mid Cap
Xtrackers MSCI Europe Mid Cap UCITS ETF 1C,LU0322253732,"DX2I
XEUM",MSCI Europe Mid Cap
Lyxor MSCI Europe Mid Cap UCITS ETF,LU0392496260,"CBEUMC
X025",MSCI Europe Mid Cap
Amundi ETF MSCI Europe Low Size Factor UCITS ETF,LU1681041544,CEM,MSCI Europe Mid Cap
iShares Edge MSCI Europe Minimum Volatility UCITS ETF,IE00B86MWN23,"EUN0
IMV
IMVU
MVEU",MSCI Europe Minimum Volatility
iShares Edge MSCI Europe Minimum Volatility UCITS ETF EUR (Dist),IE00BG13YK79,MVED,MSCI Europe Minimum Volatility
Amundi MSCI Europe Minimum Volatility Factor UCITS ETF EUR (C),LU1681041627,"MIVA
MIVO",MSCI Europe Minimum Volatility
iShares Edge MSCI Europe Momentum Factor UCITS ETF EUR (Dist),IE00BG13YJ64,IEMD,MSCI Europe Momentum
iShares Edge MSCI Europe Momentum Factor UCITS ETF,IE00BQN1K786,"CEMR
IEFM
IEMO",MSCI Europe Momentum
Amundi MSCI Europe Momentum Factor UCITS ETF EUR (C),LU1681041460,"MCEU
MJMT",MSCI Europe Momentum
Amundi MSCI Europe Quality Factor UCITS ETF EUR (C),LU1681041890,"AMEQ
QCEU",MSCI Europe Quality
iShares Edge MSCI Europe Quality Factor UCITS ETF EUR (Dist),IE00BG13YG34,"IEQD
IS0W",MSCI Europe Sector Neutral Quality
iShares Edge MSCI Europe Quality Factor UCITS ETF,IE00BQN1K562,"CEMQ
IEFQ
IEQU",MSCI Europe Sector Neutral Quality
SPDR MSCI Europe Small Cap UCITS ETF,IE00BKWQ0M75,"EUSC
SMC
SMCX
SPYS",MSCI Europe Small Cap
Xtrackers MSCI Europe Small Cap UCITS ETF 1C,LU0322253906,"DX2J
XXSC",MSCI Europe Small Cap
ComStage MSCI Europe Small Cap UCITS ETF,LU0392496344,"CMEUSC
X026",MSCI Europe Small Cap
BNP Paribas Easy MSCI Europe Small Caps SRI S-Series 5% Capped UCITS ETF,LU1291101555,EESM,MSCI Europe Small Cap SRI S-Series 5% Capped
SPDR MSCI Europe Small Cap Value Weighted UCITS ETF,IE00BSPLC298,"EUSV
ZPRX",MSCI Europe Small Cap Value Weighted
Amundi Index MSCI Europe SRI PAB UCITS ETF DR (C),LU1861137484,"ESRG
ESRU
EUSRI
MIVB",MSCI Europe SRI Filtered PAB
Amundi Index MSCI Europe SRI PAB UCITS ETF DR (D),LU2059756598,"ACU7
EDSRI
ESDG
ESDU",MSCI Europe SRI Filtered PAB
iShares MSCI Europe SRI UCITS ETF (Acc),IE00B52VJ196,"IESE
IESG
IUSK",MSCI Europe SRI Select Reduced Fossil Fuel
iShares MSCI Europe SRI UCITS ETF EUR (Dist),IE00BGDPWW94,"36B3
ISED",MSCI Europe SRI Select Reduced Fossil Fuel
Invesco MSCI Europe Value UCITS ETF,IE00B3LK4Z20,EMSV,MSCI Europe Value
Amundi ETF MSCI Europe Value Factor UCITS ETF EUR,LU1681042518,"CV9
VCEU",MSCI Europe Value
Amundi ETF MSCI France UCITS ETF,FR0010655704,"CF1
X13J",MSCI France
iShares MSCI France UCITS ETF,IE00BP3QZJ36,"IFRE
IS3U
ISFR",MSCI France
Amundi MSCI India II UCITS ETF EUR Acc,FR0010361683,"INDI
INR
LYINC
LYMD",MSCI India
Amundi MSCI India II UCITS ETF USD Acc,FR0010375766,"INRL
INRU
LYINR
NK4G",MSCI India
Lyxor PEA Inde (MSCI India) UCITS ETF - Capi,FR0011869320,PINR,MSCI India
iShares MSCI India UCITS ETF USD (Acc),IE00BZCQB185,"IIND
NDIA
QDV5",MSCI India
Xtrackers MSCI India Swap UCITS ETF 1C,LU0514695187,"XCS5
XCX5",MSCI India
Amundi MSCI India UCITS ETF EUR (C),LU1681043086,"18MK
CI2
CI2E",MSCI India
Amundi ETF MSCI India UCITS ETF USD,LU1681043169,"CI2G
CI2U
CI2USD",MSCI India
Deka MSCI Japan UCITS ETF,DE000ETFL300,EL44,MSCI Japan
iShares MSCI Japan UCITS ETF (Dist),IE00B02KXH56,"IJPN
IJPU
IQQJ",MSCI Japan
iShares MSCI Japan UCITS ETF USD (Acc),IE00B53QDK08,"CJPU
CSJP
SXR5",MSCI Japan
HSBC MSCI Japan UCITS ETF USD,IE00B5VX7566,"H4ZC
HMJD
HMJP
MJP",MSCI Japan
Invesco MSCI Japan UCITS ETF,IE00B60SX287,"MXJP
SC0I
SMSJPN",MSCI Japan
SPDR MSCI Japan UCITS ETF,IE00BZ0G8B96,"JPJP
JPJY
ZPDJ",MSCI Japan
UBS ETF (LU) MSCI Japan UCITS ETF (JPY) A-dis,LU0136240974,"JPNEUA
JPNJPA
UB02
UC65
UIM5",MSCI Japan
Xtrackers MSCI Japan UCITS ETF 1C,LU0274209740,"DBXJ
XMJD
XMJP",MSCI Japan
ComStage MSCI Japan UCITS ETF,LU0392495452,"CBMJ
X017",MSCI Japan
UBS ETF (LU) MSCI Japan UCITS ETF (JPY) A-acc,LU0950671825,JPNA,MSCI Japan
Amundi Index MSCI Japan UCITS ETF DR EUR (C),LU1602144732,"CJ1
J1GR",MSCI Japan
Amundi ETF MSCI Japan UCITS ETF DR JPY,LU1602144815,"CJ1G
CJ1U
CJ1Y",MSCI Japan
Amundi MSCI Japan UCITS ETF Acc,LU1781541252,"LCJD
LCJP
LCUJ",MSCI Japan
iShares MSCI Japan EUR Hedged UCITS ETF (Acc),IE00B42Z5J44,"IBCG
IJPE",MSCI Japan 100% Hedged to EUR
SPDR MSCI Japan EUR Hedged UCITS ETF,IE00BZ0G8C04,"JPEH
ZPDW",MSCI Japan 100% Hedged to EUR
Xtrackers MSCI Japan UCITS ETF 4C EUR hedged,LU0659580079,XMK9,MSCI Japan 100% Hedged to EUR
UBS ETF (LU) MSCI Japan hedged EUR UCITS ETF (EUR) A-dis,LU0937837945,"JPEUAH
UE32",MSCI Japan 100% Hedged to EUR
UBS ETF (LU) MSCI Japan hedged EUR UCITS ETF (EUR) A-acc,LU0950672476,"JPEUBH
UEF2",MSCI Japan 100% Hedged to EUR
ComStage MSCI Japan 100% Daily Hedged Euro UCITS ETF,LU1033694107,C025,MSCI Japan 100% Hedged to EUR
iShares Core MSCI Japan IMI UCITS ETF,IE00B4L5YX21,"EUNN
IJPA
SJPA",MSCI Japan IMI
Xtrackers MSCI Nordic UCITS ETF 1D,IE00B9MRHC27,XDN0,MSCI Nordic Countries
Amundi MSCI Nordic UCITS ETF EUR (C),LU1681044647,"CN1
CN1G",MSCI Nordic Countries
ComStage MSCI Pacific UCITS ETF,LU0392495023,"CBMP
X014",MSCI Pacific
HSBC MSCI Pacific ex Japan UCITS ETF USD,DE000A1C22P6,H4ZH,MSCI Pacific ex-Japan
iShares MSCI Pacific ex-Japan UCITS ETF (Dist),IE00B4WXJD03,"EUNJ
IPXJ
SPXJ",MSCI Pacific ex-Japan
iShares Core MSCI Pacific ex Japan UCITS ETF (Acc),IE00B52MJY50,"CPJ1
CPXJ
CSPXJ
SXR1",MSCI Pacific ex-Japan
HSBC MSCI Pacific ex Japan UCITS ETF USD,IE00B5SG8Z57,"H4ZH
HMXD
HMXJ
MXJ",MSCI Pacific ex-Japan
Xtrackers MSCI Pacific ex Japan UCITS ETF 1C,LU0322252338,"DXS6
XPXD
XPXJ",MSCI Pacific ex-Japan
ComStage MSCI Pacific ex Japan UCITS ETF,LU0392495296,"CBMPJ
X015",MSCI Pacific ex-Japan
UBS ETF (LU) MSCI Pacific (ex Japan) UCITS ETF (USD) A-dis,LU0446734526,"PACEUA
PACUSA
UB20
UIMD",MSCI Pacific ex-Japan
Xtrackers MSCI Pacific ex Japan Index UCITS ETF 2C,LU0455009935,"3043
J0Q",MSCI Pacific ex-Japan
Amundi MSCI Pacific Ex Japan UCITS ETF Dist,LU1220245556,"LGQK
PAXG
PAXJ",MSCI Pacific ex-Japan
Amundi Index MSCI Pacific ex Japan UCITS ETF DR EUR (C),LU1602144906,"18MM
CP9",MSCI Pacific ex-Japan
Amundi ETF MSCI Pacific ex Japan UCITS ETF DR USD,LU1602145036,"CP9G
CP9U",MSCI Pacific ex-Japan
HSBC MSCI USA UCITS ETF USD,DE000A1C22K7,H4ZD,MSCI USA
Lyxor MSCI USA ESG Broad CTB (DR) UCITS ETF - Dist,FR0010296061,"LUSA
LYUSA
LYYB
USA
USAL
USAU",MSCI USA
Lyxor MSCI USA ESG Broad CTB (DR) UCITS ETF Acc,FR0011363423,"LUSAC
USAC",MSCI USA
UBS ETF (IE) MSCI USA SF UCITS ETF (USD) A-acc,IE00B3SC9K16,MUUSAS,MSCI USA
iShares MSCI USA UCITS ETF (Acc),IE00B52SFT06,"CSUS
CU1
SXR4",MSCI USA
HSBC MSCI USA UCITS ETF USD,IE00B5WFQ436,"H4ZD
HMUD
HMUS
MUS",MSCI USA
Invesco MSCI USA UCITS ETF,IE00B60SX170,"MXUS
SC0H",MSCI USA
UBS ETF (IE) MSCI USA UCITS ETF (USD) A-dis,IE00B77D4428,"UBU3
UC03
UC04
USAEUY
USAUSY",MSCI USA
UBS ETF (IE) MSCI USA UCITS ETF (USD) A-acc,IE00BD4TXS21,USAUSW,MSCI USA
Xtrackers MSCI USA UCITS ETF 1C,IE00BJ0KDR00,"XD9U
XDUS",MSCI USA
UBS ETF (LU) MSCI USA UCITS ETF (USD) A-dis,LU0136234654,"UC67
UIM6
USAEUA
USAUSA",MSCI USA
Xtrackers MSCI USA Swap UCITS ETF 1C,LU0274210672,"DBXU
XMUD
XMUS",MSCI USA
Amundi MSCI USA UCITS ETF EUR (C),LU1681042864,"ACU2
CU2
CU2E",MSCI USA
Amundi ETF MSCI USA UCITS ETF USD,LU1681042948,"CU2G
CU2U
CU2USD",MSCI USA
iShares Edge MSCI USA Value Factor UCITS ETF,IE00BD1F4M44,"IUVF
IUVL
QDVI",MSCI USA Enhanced Value
iShares Edge MSCI USA Value Factor UCITS ETF USD (Dist),IE00BFF5RX68,IUVD,MSCI USA Enhanced Value
iShares MSCI USA Dividend IQ UCITS ETF,IE00BKM4H312,"HDIQ
QDIV
QDVD",MSCI USA High Dividend Yield
Amundi ETF Leveraged MSCI USA Daily UCITS ETF EUR,FR0010755611,"18MF
CL2",MSCI USA Leveraged 2x Daily
iShares Edge MSCI USA Size Factor UCITS ETF,IE00BD1F4K20,"IUSF
IUSZ
QDVC",MSCI USA Mid-Cap Equal Weighted
iShares Edge MSCI USA Momentum Factor UCITS ETF,IE00BD1F4N50,"IUMF
IUMO
QDVA",MSCI USA Momentum
iShares Edge MSCI USA Momentum Factor UCITS ETF USD (Dist),IE00BFF5RZ82,IUMD,MSCI USA Momentum
UBS ETF (IE) Factor MSCI USA Quality UCITS ETF (USD) A-dis,IE00BX7RRJ27,"UBUT
UC99
UQLTD",MSCI USA Quality
UBS ETF (IE) Factor MSCI USA Quality UCITS ETF (hedged to EUR) A-acc,IE00BWT3KN65,"UBUX
UQLTE",MSCI USA Quality (EUR Hedged)
iShares Edge MSCI USA Quality Factor UCITS ETF,IE00BD1F4L37,"IUQA
IUQF
QDVB",MSCI USA Sector Neutral Quality
iShares Edge MSCI USA Quality Factor UCITS ETF USD (Dist),IE00BF2QSQ20,"IS38
IUQD",MSCI USA Sector Neutral Quality
iShares MSCI USA Small Cap UCITS ETF (Acc),IE00B3VWM098,"CSUSS
CUS1
CUSS
SXRG",MSCI USA Small Cap
SPDR MSCI USA Small Cap Value Weighted UCITS ETF,IE00BSPLC413,"USSC
ZPRV",MSCI USA Small Cap Value Weighted
iShares MSCI USA SRI UCITS ETF,IE00BYVJRR92,"QDVR
SUAS
SUUS",MSCI USA SRI Select Reduced Fossil Fuel
iShares MSCI USA SRI UCITS ETF USD (Dist),IE00BZ173T46,"36B6
SRIL",MSCI USA SRI Select Reduced Fossil Fuel
UBS ETF (IE) MSCI USA Value UCITS ETF (USD) A-dis,IE00B78JSG98,"UBU5
UC07
USVEUY
USVUSY",MSCI USA Value
Amundi MSCI World II UCITS ETF Dist,FR0010315770,"LYWLD
LYYA
OLY3
WLD
WLDD
WLDL",MSCI World
Amundi MSCI World II UCITS ETF Acc,FR0014003IY1,WLDC,MSCI World
iShares MSCI World Swap PEA UCITS ETF EUR (Acc),IE0002XZSHO1,WPEA,MSCI World
Amundi MSCI World UCITS ETF UCITS ETF Acc,IE000BI8OT95,"MWRD
MWRE
WRDU",MSCI World
Amundi MSCI World UCITS ETF UCITS ETF DR - USD (D),IE000CNSFAR2,"MWOE
MWOF",MSCI World
iShares MSCI World Swap UCITS ETF USD (Acc),IE000F9IDGB5,IWDS,MSCI World
iShares Core MSCI World UCITS ETF USD (Dist),IE000OHHIBC6,IWDD,MSCI World
HSBC MSCI World UCITS ETF USD (Acc),IE000UQND7H4,"H4ZY
HMWA
HMWS",MSCI World
iShares MSCI World UCITS ETF (Dist),IE00B0M62Q58,"IDWR
IQQW
IWRD",MSCI World
iShares Core MSCI World UCITS ETF USD (Acc),IE00B4L5Y983,"EUNL
IWDA
SWDA",MSCI World
HSBC MSCI World UCITS ETF USD,IE00B4X9L533,"H4Z3
H4ZJ
HMWD
HMWO
WRD",MSCI World
Invesco MSCI World UCITS ETF Acc,IE00B60SX394,"MXWO
MXWS
SC0J
SMSWLD",MSCI World
UBS ETF (IE) MSCI World UCITS ETF (USD) A-dis,IE00B7KQ7B66,"UBU7
WRDD
WRDUSY",MSCI World
UBS ETF (IE) MSCI World UCITS ETF (USD) A-acc,IE00BD4TXV59,"UETW
WRDA
WRDUSW",MSCI World
SPDR MSCI World UCITS ETF,IE00BFY0GT14,"SPPW
SWLD
SWRD",MSCI World
Xtrackers MSCI World UCITS ETF 1C,IE00BJ0KDQ92,"XDWD
XWLD",MSCI World
Xtrackers MSCI World UCITS ETF 1D,IE00BK1PV551,"XDWL
XDWP",MSCI World
Xtrackers MSCI World Swap UCITS ETF 1C,LU0274208692,"DBXW
XMWD
XMWO",MSCI World
UBS ETF (LU) MSCI World UCITS ETF (USD) A-dis,LU0340285161,"UC55
UC68
UIM7
WRDEUA
WRDUSA",MSCI World
Amundi MSCI World UCITS ETF EUR (C),LU1681043599,"AMEW
AMEX
CW8
CW8E",MSCI World
