Fund,ISIN,Tickers,Index
BNP Paribas Easy FTSE EPRA Nareit Global Developed Green CTB UCITS ETF,LU2365458905,"ASRM
EGDGR
GRCTB",FTSE EPRA Nareit Developed Green EU CTB
Amundi ETF Govies 0-6 Months Euro Investment Grade UCITS ETF EUR (C),FR0010754200,"18M1
C3M",FTSE Eurozone Government Bill 0-6 Month Capped
Amundi Italy BTP Government Bond 10Y UCITS ETF Acc,LU1598691217,"BTP10
LYT5",FTSE Eurozone Target Maturity Government Bond Italy (Mid Price)
Vanguard ESG Global All Cap UCITS ETF (USD) Accumulating,IE00BNG8L278,"V3AA
V3AB",FTSE Global All Cap Choice
Vanguard ESG Global All Cap UCITS ETF (USD) Distributing,IE00BNG8L385,"V3AL
V3AM",FTSE Global All Cap Choice
iShares Global Infrastructure UCITS ETF,IE00B1FZS467,"IDIN
INFR
IQQI",FTSE Global Core Infrastructure
Vanguard FTSE Japan UCITS ETF Distributing,IE00B95PGT31,"VDJP
VJPN",FTSE Japan
Vanguard FTSE Japan UCITS ETF Accumulating,IE00BFMXYX26,"VJPA
VJPB",FTSE Japan
Xtrackers Japan Government Bond UCITS ETF 1C,LU0952581584,XJSE,FTSE Japanese Government Bond
Amundi FTSE MIB UCITS ETF Dist,FR0010010827,"ETFMIB
LYMK
MIB
MIBX",FTSE MIB
iShares FTSE MIB UCITS ETF EUR (Dist),IE00B1XNH568,IMIB,FTSE MIB
iShares FTSE MIB UCITS ETF (Acc),IE00B53L4X51,"CMB1
CMIB
CSMIB
SXRY",FTSE MIB
Xtrackers FTSE MIB UCITS ETF 1D,LU0274212538,"DBXI
XMIB",FTSE MIB
Amundi ETF FTSE MIB UCITS ETF,LU1681037518,FMI,FTSE MIB
Amundi PEA Obligations d'État Euro UCITS ETF Acc,FR0013346681,OBLI,FTSE MTS Eurozone Government Bond IG
Amundi ETF Government Bond EuroMTS Broad Investment Grade 10-15 UCITS ETF EUR (C),FR0010754143,"18MW
C10",FTSE MTS Eurozone Government Broad Investment Grade 10-15
Vanguard FTSE North America UCITS ETF (USD) Accumulating,IE00BK5BQW10,"VNRA
VNRG",FTSE North America
Vanguard FTSE North America UCITS ETF Distributing,IE00BKX55R35,"VDNR
VNRT",FTSE North America
SPDR Refinitiv Global Convertible Bond UCITS ETF,IE00BNH72088,"CONV
GCVB
GLCB
ZPRC",FTSE Qualified Global Convertible
SPDR Refinitiv Global Convertible Bond EUR Hedged UCITS ETF,IE00BDT6FP91,"GCVE
SPF1",FTSE Qualified Global Convertible (EUR Hedged)
iShares UK Dividend UCITS ETF,IE00B0M63060,"IQQD
IUKD",FTSE UK Dividend+
